. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_CCDC8_aln1_NT.addGroupNames.degap_0.3.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	16   	-10344.71843	Yes        	4        	1.326    	0.181    	 0.25272   0.26510   0.34729   0.13489	-1.01806   0.23053   0.71433   0.07320  
      	     	          	           	          	           	             	                                      	 0.21976  -1.01806   0.24186   0.55645  
      	     	          	           	          	           	             	                                      	 0.51980   0.18462  -0.79394   0.08952  
      	     	          	           	          	           	             	                                      	 0.13714   1.09360   0.23047  -1.46122  
  #2	16   	-10156.10433	Yes        	4        	1.636    	0.227    	 0.24416   0.26435   0.35765   0.13384	-1.07215   0.23217   0.75334   0.08665  
      	     	          	           	          	           	             	                                      	 0.21444  -1.01884   0.28333   0.52108  
      	     	          	           	          	           	             	                                      	 0.51430   0.20942  -0.79522   0.07151  
      	     	          	           	          	           	             	                                      	 0.15808   1.02919   0.19109  -1.37836  
  #3	16   	-10227.00309	Yes        	4        	1.423    	0.171    	 0.23035   0.28547   0.34614   0.13804	-1.10783   0.27086   0.75067   0.08630  
      	     	          	           	          	           	             	                                      	 0.21856  -0.97585   0.23673   0.52055  
      	     	          	           	          	           	             	                                      	 0.49956   0.19524  -0.77750   0.08270  
      	     	          	           	          	           	             	                                      	 0.14403   1.07654   0.20738  -1.42795  
  #4	16   	-10027.22032	Yes        	4        	1.909    	0.212    	 0.23799   0.28481   0.35732   0.11988	-1.12751   0.23005   0.80457   0.09289  
      	     	          	           	          	           	             	                                      	 0.19223  -0.91796   0.23905   0.48668  
      	     	          	           	          	           	             	                                      	 0.53587   0.19054  -0.79630   0.06988  
      	     	          	           	          	           	             	                                      	 0.18441   1.15625   0.20830  -1.54896  
  #5	16   	-10260.84136	Yes        	4        	1.527    	0.224    	 0.23471   0.26158   0.37448   0.12923	-1.04540   0.22639   0.74176   0.07725  
      	     	          	           	          	           	             	                                      	 0.20313  -1.06741   0.25309   0.61119  
      	     	          	           	          	           	             	                                      	 0.46489   0.17679  -0.71794   0.07626  
      	     	          	           	          	           	             	                                      	 0.14030   1.23714   0.22100  -1.59844  
  #6	16   	-9835.17851	Yes        	4        	1.250    	0.175    	 0.24610   0.27004   0.35497   0.12889	-1.08343   0.26889   0.70728   0.10726  
      	     	          	           	          	           	             	                                      	 0.24505  -1.00491   0.23432   0.52554  
      	     	          	           	          	           	             	                                      	 0.49036   0.17826  -0.74799   0.07937  
      	     	          	           	          	           	             	                                      	 0.20480   1.10109   0.21859  -1.52449  
  #7	16   	-10155.66957	Yes        	4        	2.195    	0.277    	 0.23708   0.27310   0.35861   0.13121	-1.07758   0.25070   0.75405   0.07283  
      	     	          	           	          	           	             	                                      	 0.21764  -1.01926   0.27081   0.53081  
      	     	          	           	          	           	             	                                      	 0.49850   0.20623  -0.77614   0.07141  
      	     	          	           	          	           	             	                                      	 0.13159   1.10484   0.19517  -1.43160  
  #8	16   	-9697.17546	Yes        	4        	3.359    	0.314    	 0.23413   0.25373   0.37271   0.13943	-1.03891   0.21435   0.74798   0.07658  
      	     	          	           	          	           	             	                                      	 0.19779  -1.10418   0.26441   0.64198  
      	     	          	           	          	           	             	                                      	 0.46986   0.18001  -0.72172   0.07186  
      	     	          	           	          	           	             	                                      	 0.12859   1.16827   0.19209  -1.48895  
  #9	16   	-10124.03572	Yes        	4        	2.868    	0.265    	 0.23576   0.27526   0.36325   0.12572	-1.07516   0.23402   0.74563   0.09551  
      	     	          	           	          	           	             	                                      	 0.20043  -0.99942   0.25417   0.54481  
      	     	          	           	          	           	             	                                      	 0.48393   0.19261  -0.74973   0.07319  
      	     	          	           	          	           	             	                                      	 0.17911   1.19285   0.21147  -1.58344  
  #10	16   	-10055.74453	Yes        	4        	2.530    	0.262    	 0.23924   0.27716   0.35074   0.13286	-1.00393   0.20355   0.71469   0.08570  
      	     	          	           	          	           	             	                                      	 0.17570  -1.00672   0.26478   0.56624  
      	     	          	           	          	           	             	                                      	 0.48748   0.20924  -0.78081   0.08409  
      	     	          	           	          	           	             	                                      	 0.15431   1.18122   0.22200  -1.55752  
  #11	16   	-9926.52481	Yes        	4        	1.656    	0.224    	 0.23144   0.27856   0.36361   0.12639	-1.08015   0.19777   0.78738   0.09500  
      	     	          	           	          	           	             	                                      	 0.16432  -0.95382   0.25738   0.53211  
      	     	          	           	          	           	             	                                      	 0.50118   0.19718  -0.78111   0.08275  
      	     	          	           	          	           	             	                                      	 0.17395   1.17270   0.23804  -1.58470  
  #12	16   	-10208.48387	Yes        	4        	2.261    	0.248    	 0.23218   0.28626   0.35010   0.13146	-1.01272   0.20957   0.72639   0.07676  
      	     	          	           	          	           	             	                                      	 0.16998  -0.98918   0.23408   0.58512  
      	     	          	           	          	           	             	                                      	 0.48173   0.19140  -0.75985   0.08672  
      	     	          	           	          	           	             	                                      	 0.13558   1.27412   0.23095  -1.64065  
  #13	16   	-9942.70459	Yes        	4        	1.123    	0.156    	 0.25292   0.26100   0.34468   0.14140	-0.96140   0.20450   0.67354   0.08336  
      	     	          	           	          	           	             	                                      	 0.19817  -1.08022   0.23877   0.64328  
      	     	          	           	          	           	             	                                      	 0.49424   0.18080  -0.75229   0.07724  
      	     	          	           	          	           	             	                                      	 0.14910   1.18741   0.18830  -1.52481  
  #14	16   	-9790.89338	Yes        	4        	1.699    	0.281    	 0.24232   0.26264   0.35687   0.13817	-1.00000   0.20869   0.72255   0.06876  
      	     	          	           	          	           	             	                                      	 0.19254  -1.03643   0.28115   0.56274  
      	     	          	           	          	           	             	                                      	 0.49061   0.20691  -0.79853   0.10101  
      	     	          	           	          	           	             	                                      	 0.12058   1.06966   0.26089  -1.45113  
  #15	16   	-10108.35984	Yes        	4        	1.793    	0.210    	 0.24165   0.28020   0.35105   0.12711	-1.00555   0.21461   0.69096   0.09998  
      	     	          	           	          	           	             	                                      	 0.18508  -0.98330   0.26763   0.53059  
