. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_MOAP1_aln2_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	14   	-6589.94348	Yes        	4        	1.429    	0.055    	 0.28129   0.22232   0.29319   0.20319	-1.02223   0.21865   0.65778   0.14580  
      	     	          	           	          	           	             	                                      	 0.27664  -1.09833   0.15294   0.66874  
      	     	          	           	          	           	             	                                      	 0.63107   0.11597  -0.84861   0.10157  
      	     	          	           	          	           	             	                                      	 0.20184   0.73169   0.14655  -1.08009  
  #2	14   	-6395.42052	Yes        	4        	1.951    	0.121    	 0.26454   0.20251   0.30805   0.22491	-1.08968   0.21270   0.71149   0.16549  
      	     	          	           	          	           	             	                                      	 0.27785  -1.15447   0.22932   0.64729  
      	     	          	           	          	           	             	                                      	 0.61100   0.15075  -0.87284   0.11109  
      	     	          	           	          	           	             	                                      	 0.19465   0.58282   0.15215  -0.92961  
  #3	14   	-6877.71469	Yes        	4        	1.898    	0.050    	 0.25722   0.21394   0.29316   0.23568	-1.15929   0.22217   0.75021   0.18691  
      	     	          	           	          	           	             	                                      	 0.26712  -1.05080   0.20759   0.57609  
      	     	          	           	          	           	             	                                      	 0.65823   0.15149  -0.92621   0.11648  
      	     	          	           	          	           	             	                                      	 0.20399   0.52294   0.14489  -0.87182  
  #4	14   	-6900.31360	Yes        	4        	2.120    	0.089    	 0.28127   0.21017   0.28052   0.22803	-1.05521   0.17183   0.73255   0.15083  
      	     	          	           	          	           	             	                                      	 0.22997  -1.02604   0.17730   0.61878  
      	     	          	           	          	           	             	                                      	 0.73451   0.13283  -0.99526   0.12792  
      	     	          	           	          	           	             	                                      	 0.18604   0.57031   0.15736  -0.91372  
  #5	14   	-6614.91732	Yes        	4        	2.353    	0.135    	 0.25890   0.22094   0.30177   0.21839	-1.11732   0.22141   0.74263   0.15328  
      	     	          	           	          	           	             	                                      	 0.25945  -1.04493   0.17379   0.61168  
      	     	          	           	          	           	             	                                      	 0.63715   0.12724  -0.88759   0.12320  
      	     	          	           	          	           	             	                                      	 0.18171   0.61884   0.17024  -0.97079  
  #6	14   	-6705.27114	Yes        	4        	2.308    	0.118    	 0.26879   0.22333   0.27071   0.23716	-1.05365   0.19606   0.68567   0.17193  
      	     	          	           	          	           	             	                                      	 0.23597  -1.09324   0.16274   0.69453  
      	     	          	           	          	           	             	                                      	 0.68081   0.13426  -0.90863   0.09356  
      	     	          	           	          	           	             	                                      	 0.19486   0.65403   0.10679  -0.95568  
  #7	14   	-6687.53290	Yes        	4        	1.018    	0.000    	 0.26384   0.20472   0.29066   0.24078	-1.02163   0.15934   0.70666   0.15564  
      	     	          	           	          	           	             	                                      	 0.20535  -1.14756   0.23421   0.70799  
      	     	          	           	          	           	             	                                      	 0.64145   0.16496  -0.93565   0.12924  
      	     	          	           	          	           	             	                                      	 0.17054   0.60197   0.15601  -0.92851  
  #8	14   	-6689.47164	Yes        	4        	1.825    	0.050    	 0.27431   0.20968   0.27165   0.24436	-1.05815   0.19321   0.70354   0.16140  
      	     	          	           	          	           	             	                                      	 0.25276  -1.09282   0.18822   0.65184  
      	     	          	           	          	           	             	                                      	 0.71044   0.14529  -0.97938   0.12365  
      	     	          	           	          	           	             	                                      	 0.18119   0.55934   0.13746  -0.87799  
  #9	14   	-6813.12525	Yes        	4        	1.501    	0.017    	 0.26128   0.19659   0.29824   0.24389	-1.07411   0.16971   0.75724   0.14716  
      	     	          	           	          	           	             	                                      	 0.22555  -1.15194   0.18523   0.74116  
      	     	          	           	          	           	             	                                      	 0.66339   0.12210  -0.91035   0.12486  
      	     	          	           	          	           	             	                                      	 0.15765   0.59742   0.15268  -0.90776  
  #10	14   	-6540.82970	Yes        	4        	1.140    	0.000    	 0.26366   0.21455   0.30600   0.21579	-1.11666   0.18521   0.78039   0.15106  
      	     	          	           	          	           	             	                                      	 0.22760  -1.05200   0.18271   0.64169  
      	     	          	           	          	           	             	                                      	 0.67242   0.12811  -0.89433   0.09380  
      	     	          	           	          	           	             	                                      	 0.18457   0.63803   0.13301  -0.95561  
  #11	14   	-6483.97433	Yes        	4        	1.484    	0.066    	 0.27638   0.22488   0.28192   0.21681	-1.05777   0.19760   0.71455   0.14562  
      	     	          	           	          	           	             	                                      	 0.24285  -0.99551   0.18933   0.56332  
      	     	          	           	          	           	             	                                      	 0.70051   0.15103  -0.98771   0.13617  
      	     	          	           	          	           	             	                                      	 0.18564   0.58429   0.17707  -0.94699  
