. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA2_aln1_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	15   	-6115.77132	Yes        	4        	0.709    	0.144    	 0.25805   0.22335   0.31632   0.20228	-1.04787   0.22616   0.75467   0.06705  
      	     	          	           	          	           	             	                                      	 0.26130  -1.16980   0.20532   0.70317  
      	     	          	           	          	           	             	                                      	 0.61565   0.14497  -0.84498   0.08436  
      	     	          	           	          	           	             	                                      	 0.08553   0.77641   0.13192  -0.99387  
  #2	15   	-6707.36936	Yes        	4        	0.754    	0.177    	 0.24375   0.23308   0.32650   0.19667	-1.08077   0.19682   0.82458   0.05937  
      	     	          	           	          	           	             	                                      	 0.20583  -1.08864   0.22150   0.66130  
      	     	          	           	          	           	             	                                      	 0.61558   0.15812  -0.86804   0.09434  
      	     	          	           	          	           	             	                                      	 0.07358   0.78372   0.15662  -1.01392  
  #3	15   	-6352.78448	Yes        	4        	0.630    	0.125    	 0.26716   0.21733   0.31182   0.20370	-1.01248   0.19823   0.77988   0.03438  
      	     	          	           	          	           	             	                                      	 0.24368  -1.17084   0.19429   0.73287  
      	     	          	           	          	           	             	                                      	 0.66819   0.13541  -0.89343   0.08983  
      	     	          	           	          	           	             	                                      	 0.04509   0.78191   0.13750  -0.96450  
  #4	15   	-6310.41888	Yes        	4        	0.532    	0.106    	 0.25810   0.22106   0.30752   0.21332	-1.08825   0.19249   0.84271   0.05305  
      	     	          	           	          	           	             	                                      	 0.22475  -1.07594   0.19325   0.65794  
      	     	          	           	          	           	             	                                      	 0.70729   0.13891  -0.94687   0.10067  
      	     	          	           	          	           	             	                                      	 0.06419   0.68181   0.14512  -0.89112  
  #5	15   	-6242.96030	Yes        	4        	0.634    	0.178    	 0.24666   0.21593   0.34079   0.19663	-1.14946   0.22011   0.88006   0.04929  
      	     	          	           	          	           	             	                                      	 0.25143  -1.11838   0.21627   0.65068  
      	     	          	           	          	           	             	                                      	 0.63698   0.13703  -0.85992   0.08591  
      	     	          	           	          	           	             	                                      	 0.06183   0.71456   0.14890  -0.92529  
  #6	15   	-6542.13790	Yes        	4        	0.629    	0.131    	 0.25389   0.22713   0.31411   0.20487	-1.04319   0.17633   0.81021   0.05665  
      	     	          	           	          	           	             	                                      	 0.19710  -1.08058   0.21660   0.66688  
      	     	          	           	          	           	             	                                      	 0.65488   0.15662  -0.92127   0.10976  
      	     	          	           	          	           	             	                                      	 0.07021   0.73935   0.16829  -0.97786  
  #7	15   	-6309.37022	Yes        	4        	0.701    	0.139    	 0.24172   0.22707   0.31874   0.21247	-1.03489   0.20230   0.77931   0.05328  
      	     	          	           	          	           	             	                                      	 0.21536  -1.14429   0.18089   0.74805  
      	     	          	           	          	           	             	                                      	 0.59099   0.12886  -0.84195   0.12211  
      	     	          	           	          	           	             	                                      	 0.06061   0.79941   0.18318  -1.04320  
  #8	15   	-6452.94777	Yes        	4        	0.559    	0.138    	 0.23917   0.24942   0.30842   0.20299	-1.16002   0.26041   0.85031   0.04929  
      	     	          	           	          	           	             	                                      	 0.24971  -1.06848   0.18409   0.63468  
      	     	          	           	          	           	             	                                      	 0.65939   0.14888  -0.86773   0.05947  
      	     	          	           	          	           	             	                                      	 0.05808   0.77985   0.09035  -0.92828  
  #9	15   	-6400.29672	Yes        	4        	0.655    	0.105    	 0.26148   0.22973   0.30095   0.20783	-1.09773   0.23410   0.82508   0.03854  
      	     	          	           	          	           	             	                                      	 0.26646  -1.10886   0.20667   0.63572  
      	     	          	           	          	           	             	                                      	 0.71686   0.15776  -0.93922   0.06460  
      	     	          	           	          	           	             	                                      	 0.04849   0.70270   0.09354  -0.84473  
  #10	15   	-6376.12011	Yes        	4        	0.592    	0.067    	 0.24662   0.22251   0.32925   0.20162	-0.96438   0.22647   0.69093   0.04699  
      	     	          	           	          	           	             	                                      	 0.25101  -1.24740   0.28854   0.70785  
      	     	          	           	          	           	             	                                      	 0.51752   0.19499  -0.83540   0.12289  
      	     	          	           	          	           	             	                                      	 0.05748   0.78118   0.20068  -1.03934  
  #11	15   	-6337.64087	Yes        	4        	0.652    	0.117    	 0.24182   0.23500   0.32170   0.20149	-1.12135   0.26665   0.80471   0.04999  
      	     	          	           	          	           	             	                                      	 0.27439  -1.13297   0.21028   0.64830  
      	     	          	           	          	           	             	                                      	 0.60491   0.15361  -0.84267   0.08415  
      	     	          	           	          	           	             	                                      	 0.05999   0.75612   0.13436  -0.95047  
  #12	15   	-6513.01368	Yes        	4        	0.591    	0.109    	 0.25627   0.22358   0.31063   0.20952	-1.07930   0.25878   0.78786   0.03266  
      	     	          	           	          	           	             	                                      	 0.29661  -1.16032   0.22556   0.63814  
      	     	          	           	          	           	             	                                      	 0.64999   0.16235  -0.90988   0.09754  
      	     	          	           	          	           	             	                                      	 0.03995   0.68097   0.14461  -0.86553  
  #13	15   	-6231.79713	Yes        	4        	0.647    	0.153    	 0.24924   0.22146   0.31549   0.21381	-1.13807   0.20258   0.90130   0.03419  
      	     	          	           	          	           	             	                                      	 0.22798  -1.01431   0.22368   0.56264  
      	     	          	           	          	           	             	                                      	 0.71202   0.15702  -1.00284   0.13380  
      	     	          	           	          	           	             	                                      	 0.03986   0.58276   0.19743  -0.82004  
  #14	15   	-6146.06828	Yes        	4        	0.624    	0.121    	 0.25546   0.21824   0.31718   0.20912	-1.13179   0.25626   0.82102   0.05450  
      	     	          	           	          	           	             	                                      	 0.29996  -1.13062   0.19228   0.63838  
      	     	          	           	          	           	             	                                      	 0.66126   0.13231  -0.88685   0.09329  
