. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6A_aln1_NT.trim1_1071.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	10   	-5305.71478	Yes        	4        	1.009    	0.031    	 0.19820   0.26803   0.36409   0.16968	-1.22967   0.31322   0.86506   0.05139  
      	     	          	           	          	           	             	                                      	 0.23162  -1.04289   0.29098   0.52028  
      	     	          	           	          	           	             	                                      	 0.47093   0.21421  -0.79179   0.10665  
      	     	          	           	          	           	             	                                      	 0.06003   0.82186   0.22885  -1.11074  
  #2	10   	-4944.25061	Yes        	4        	1.025    	0.077    	 0.18716   0.26039   0.35287   0.19958	-1.26965   0.35457   0.87386   0.04122  
      	     	          	           	          	           	             	                                      	 0.25484  -1.11647   0.34980   0.51182  
      	     	          	           	          	           	             	                                      	 0.46348   0.25813  -0.82934   0.10773  
      	     	          	           	          	           	             	                                      	 0.03866   0.66778   0.19048  -0.89692  
  #3	10   	-5318.33290	Yes        	4        	1.024    	0.033    	 0.16702   0.28482   0.36818   0.17997	-1.39520   0.32739   0.93807   0.12974  
      	     	          	           	          	           	             	                                      	 0.19198  -1.02455   0.29855   0.53401  
      	     	          	           	          	           	             	                                      	 0.42553   0.23096  -0.73754   0.08105  
      	     	          	           	          	           	             	                                      	 0.12040   0.84512   0.16581  -1.13133  
  #4	10   	-5240.18989	Yes        	4        	1.567    	0.145    	 0.18840   0.24499   0.36683   0.19978	-1.16386   0.26090   0.83892   0.06405  
      	     	          	           	          	           	             	                                      	 0.20064  -1.21821   0.41719   0.60038  
      	     	          	           	          	           	             	                                      	 0.43087   0.27862  -0.79518   0.08569  
      	     	          	           	          	           	             	                                      	 0.06040   0.73623   0.15734  -0.95398  
  #5	10   	-5242.65814	Yes        	4        	1.104    	0.071    	 0.17098   0.26018   0.37209   0.19675	-1.37863   0.31872   0.97864   0.08127  
      	     	          	           	          	           	             	                                      	 0.20945  -1.07115   0.27858   0.58312  
      	     	          	           	          	           	             	                                      	 0.44970   0.19480  -0.75222   0.10772  
      	     	          	           	          	           	             	                                      	 0.07062   0.77112   0.20373  -1.04547  
  #6	10   	-5072.45951	Yes        	4        	1.050    	0.076    	 0.17754   0.26876   0.34639   0.20731	-1.20775   0.23263   0.92850   0.04662  
      	     	          	           	          	           	             	                                      	 0.15368  -1.04377   0.32201   0.56808  
      	     	          	           	          	           	             	                                      	 0.47590   0.24984  -0.85957   0.13382  
      	     	          	           	          	           	             	                                      	 0.03993   0.73646   0.22360  -0.99998  
  #7	10   	-5080.35929	Yes        	4        	1.427    	0.093    	 0.17738   0.26895   0.35873   0.19494	-1.22500   0.28737   0.88505   0.05258  
      	     	          	           	          	           	             	                                      	 0.18953  -1.04293   0.29010   0.56331  
      	     	          	           	          	           	             	                                      	 0.43763   0.21749  -0.80339   0.14826  
      	     	          	           	          	           	             	                                      	 0.04784   0.77716   0.27284  -1.09784  
  #8	10   	-5081.46534	Yes        	4        	1.139    	0.038    	 0.16703   0.26905   0.36487   0.19904	-1.30895   0.29919   0.94837   0.06139  
      	     	          	           	          	           	             	                                      	 0.18575  -1.06676   0.31701   0.56401  
      	     	          	           	          	           	             	                                      	 0.43415   0.23376  -0.78938   0.12147  
      	     	          	           	          	           	             	                                      	 0.05152   0.76240   0.22268  -1.03659  
  #9	10   	-5101.83306	Yes        	4        	1.392    	0.045    	 0.16163   0.26006   0.38534   0.19298	-1.55904   0.37677   1.06942   0.11286  
      	     	          	           	          	           	             	                                      	 0.23417  -1.00227   0.27364   0.49447  
      	     	          	           	          	           	             	                                      	 0.44857   0.18467  -0.75848   0.12524  
      	     	          	           	          	           	             	                                      	 0.09453   0.66636   0.25009  -1.01098  
  #10	10   	-4927.71924	Yes        	4        	2.168    	0.128    	 0.18000   0.26741   0.39636   0.15623	-1.27472   0.32668   0.86113   0.08691  
      	     	          	           	          	           	             	                                      	 0.21990  -1.09117   0.35291   0.51835  
      	     	          	           	          	           	             	                                      	 0.39107   0.23809  -0.72394   0.09478  
      	     	          	           	          	           	             	                                      	 0.10014   0.88723   0.24046  -1.22783  
  #11	10   	-5256.81305	Yes        	4        	1.120    	0.083    	 0.18114   0.26228   0.35887   0.19771	-1.23595   0.31500   0.86577   0.05518  
