. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6EF_aln1_NT.trim1024_1527.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	12   	-2638.37313	Yes        	4        	0.777    	0.011    	 0.19216   0.28708   0.32876   0.19200	-1.27921   0.22938   0.93807   0.11176  
      	     	          	           	          	           	             	                                      	 0.15354  -0.98220   0.25885   0.56981  
      	     	          	           	          	           	             	                                      	 0.54831   0.22604  -0.82390   0.04955  
      	     	          	           	          	           	             	                                      	 0.11185   0.85201   0.08484  -1.04871  
  #2	12   	-2703.77835	Yes        	4        	0.986    	0.169    	 0.16636   0.27600   0.37688   0.18075	-1.41218   0.22801   1.03665   0.14752  
      	     	          	           	          	           	             	                                      	 0.13743  -1.05832   0.23829   0.68260  
      	     	          	           	          	           	             	                                      	 0.45760   0.17451  -0.66102   0.02891  
      	     	          	           	          	           	             	                                      	 0.13578   1.04233   0.06028  -1.23839  
  #3	12   	-2767.96152	Yes        	4        	1.602    	0.177    	 0.15528   0.27055   0.38366   0.19051	-1.43916   0.18292   1.08128   0.17496  
      	     	          	           	          	           	             	                                      	 0.10499  -1.04117   0.31918   0.61701  
      	     	          	           	          	           	             	                                      	 0.43764   0.22507  -0.72329   0.06057  
      	     	          	           	          	           	             	                                      	 0.14261   0.87624   0.12199  -1.14084  
  #4	12   	-2753.42372	Yes        	4        	1.574    	0.171    	 0.19130   0.29415   0.35516   0.15939	-1.15317   0.27583   0.78349   0.09385  
      	     	          	           	          	           	             	                                      	 0.17939  -0.99089   0.17727   0.63423  
      	     	          	           	          	           	             	                                      	 0.42202   0.14682  -0.68342   0.11458  
      	     	          	           	          	           	             	                                      	 0.11264   1.17042   0.25531  -1.53837  
  #5	12   	-2743.51846	Yes        	4        	1.087    	0.126    	 0.16468   0.28373   0.38690   0.16468	-1.47951   0.28050   1.07502   0.12400  
      	     	          	           	          	           	             	                                      	 0.16281  -0.97947   0.17465   0.64201  
      	     	          	           	          	           	             	                                      	 0.45757   0.12808  -0.64933   0.06368  
      	     	          	           	          	           	             	                                      	 0.12400   1.10612   0.14961  -1.37973  
  #6	12   	-2783.94893	Yes        	4        	1.026    	0.134    	 0.17466   0.27737   0.38174   0.16623	-1.35901   0.15261   1.08729   0.11911  
      	     	          	           	          	           	             	                                      	 0.09610  -0.91545   0.23463   0.58471  
      	     	          	           	          	           	             	                                      	 0.49748   0.17049  -0.76061   0.09265  
      	     	          	           	          	           	             	                                      	 0.12516   0.97569   0.21277  -1.31361  
  #7	12   	-2699.42679	Yes        	4        	1.696    	0.183    	 0.17976   0.25930   0.38829   0.17265	-1.54516   0.16893   1.27581   0.10042  
      	     	          	           	          	           	             	                                      	 0.11711  -0.88261   0.23749   0.52801  
      	     	          	           	          	           	             	                                      	 0.59063   0.15860  -0.81039   0.06116  
      	     	          	           	          	           	             	                                      	 0.10455   0.79303   0.13755  -1.03514  
  #8	12   	-2631.70478	Yes        	4        	1.223    	0.173    	 0.17913   0.27043   0.37066   0.17979	-1.27583   0.29128   0.93795   0.04660  
      	     	          	           	          	           	             	                                      	 0.19294  -1.07501   0.23162   0.65046  
      	     	          	           	          	           	             	                                      	 0.45328   0.16898  -0.71110   0.08884  
      	     	          	           	          	           	             	                                      	 0.04643   0.97838   0.18315  -1.20796  
  #9	12   	-2778.49289	Yes        	4        	1.170    	0.129    	 0.18621   0.30263   0.32925   0.18191	-1.26037   0.27108   0.86711   0.12218  
      	     	          	           	          	           	             	                                      	 0.16680  -0.98406   0.23378   0.58349  
      	     	          	           	          	           	             	                                      	 0.49039   0.21488  -0.75987   0.05461  
      	     	          	           	          	           	             	                                      	 0.12507   0.97071   0.09884  -1.19462  
  #10	12   	-2630.42392	Yes        	4        	2.477    	0.155    	 0.19411   0.27381   0.35946   0.17262	-1.13474   0.24253   0.83449   0.05772  
      	     	          	           	          	           	             	                                      	 0.17194  -1.10852   0.32528   0.61131  
      	     	          	           	          	           	             	                                      	 0.45064   0.24778  -0.76319   0.06477  
      	     	          	           	          	           	             	                                      	 0.06491   0.96966   0.13488  -1.16946  
  #11	12   	-2741.40934	Yes        	4        	1.458    	0.137    	 0.19630   0.24938   0.37870   0.17562	-1.35579   0.26153   1.00580   0.08846  
