. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA8A_aln2_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	15   	-10447.83145	Yes        	4        	1.137    	0.019    	 0.25128   0.24388   0.32393   0.18092	-1.01204   0.17496   0.75262   0.08447  
      	     	          	           	          	           	             	                                      	 0.18026  -1.01058   0.26276   0.56756  
      	     	          	           	          	           	             	                                      	 0.58381   0.19782  -0.91501   0.13338  
      	     	          	           	          	           	             	                                      	 0.11731   0.76506   0.23881  -1.12119  
  #2	15   	-10347.98655	Yes        	4        	1.206    	0.060    	 0.25632   0.26915   0.29607   0.17846	-1.03161   0.22852   0.72176   0.08134  
      	     	          	           	          	           	             	                                      	 0.21763  -0.98148   0.23812   0.52574  
      	     	          	           	          	           	             	                                      	 0.62488   0.21647  -0.94261   0.10126  
      	     	          	           	          	           	             	                                      	 0.11683   0.79292   0.16799  -1.07774  
  #3	15   	-10374.84122	Yes        	4        	1.021    	0.000    	 0.24556   0.24627   0.32201   0.18616	-1.05071   0.21597   0.75027   0.08447  
      	     	          	           	          	           	             	                                      	 0.21535  -1.04489   0.26901   0.56053  
      	     	          	           	          	           	             	                                      	 0.57214   0.20573  -0.89495   0.11708  
      	     	          	           	          	           	             	                                      	 0.11142   0.74150   0.20252  -1.05544  
  #4	15   	-10320.72753	Yes        	4        	1.181    	0.000    	 0.25738   0.25855   0.30934   0.17473	-0.95662   0.20369   0.69016   0.06277  
      	     	          	           	          	           	             	                                      	 0.20277  -1.01975   0.23048   0.58651  
      	     	          	           	          	           	             	                                      	 0.57423   0.19263  -0.90444   0.13758  
      	     	          	           	          	           	             	                                      	 0.09246   0.86783   0.24356  -1.20385  
  #5	15   	-10555.34665	Yes        	4        	1.195    	0.080    	 0.24976   0.24986   0.31316   0.18722	-1.01586   0.23339   0.71363   0.06884  
      	     	          	           	          	           	             	                                      	 0.23330  -1.05085   0.21827   0.59929  
      	     	          	           	          	           	             	                                      	 0.56916   0.17415  -0.87743   0.13412  
      	     	          	           	          	           	             	                                      	 0.09184   0.79981   0.22435  -1.11599  
  #6	15   	-10230.39006	Yes        	4        	1.420    	0.112    	 0.25338   0.24387   0.33111   0.17164	-1.03224   0.22408   0.73345   0.07471  
      	     	          	           	          	           	             	                                      	 0.23282  -1.03102   0.24457   0.55364  
      	     	          	           	          	           	             	                                      	 0.56128   0.18013  -0.87367   0.13226  
      	     	          	           	          	           	             	                                      	 0.11029   0.78660   0.25513  -1.15202  
  #7	15   	-10331.37207	Yes        	4        	1.373    	0.042    	 0.25979   0.25747   0.31703   0.16571	-1.01868   0.19848   0.76384   0.05636  
      	     	          	           	          	           	             	                                      	 0.20027  -0.95320   0.21663   0.53630  
      	     	          	           	          	           	             	                                      	 0.62593   0.17593  -0.93276   0.13090  
      	     	          	           	          	           	             	                                      	 0.08836   0.83326   0.25044  -1.17206  
  #8	15   	-10336.73074	Yes        	4        	1.415    	0.062    	 0.26355   0.24516   0.33001   0.16127	-0.99961   0.22776   0.70667   0.06518  
      	     	          	           	          	           	             	                                      	 0.24485  -1.02429   0.24425   0.53519  
      	     	          	           	          	           	             	                                      	 0.56435   0.18145  -0.88356   0.13776  
      	     	          	           	          	           	             	                                      	 0.10652   0.81357   0.28190  -1.20199  
  #9	15   	-10446.94500	Yes        	4        	1.405    	0.071    	 0.24349   0.27104   0.30847   0.17700	-0.99059   0.20246   0.72500   0.06312  
      	     	          	           	          	           	             	                                      	 0.18188  -0.97554   0.22465   0.56901  
      	     	          	           	          	           	             	                                      	 0.57229   0.19739  -0.91130   0.14162  
      	     	          	           	          	           	             	                                      	 0.08684   0.87134   0.24681  -1.20499  
  #10	15   	-10142.87168	Yes        	4        	1.070    	0.004    	 0.26835   0.23922   0.33493   0.15750	-1.01658   0.21839   0.73603   0.06216  
      	     	          	           	          	           	             	                                      	 0.24498  -1.04027   0.25585   0.53944  
      	     	          	           	          	           	             	                                      	 0.58970   0.18273  -0.88278   0.11034  
      	     	          	           	          	           	             	                                      	 0.10590   0.81931   0.23465  -1.15986  
  #11	15   	-10631.59026	Yes        	4        	1.757    	0.150    	 0.24292   0.25568   0.32973   0.17167	-1.06473   0.20468   0.76739   0.09265  
      	     	          	           	          	           	             	                                      	 0.19447  -0.98775   0.21356   0.57972  
      	     	          	           	          	           	             	                                      	 0.56536   0.16559  -0.84781   0.11685  
      	     	          	           	          	           	             	                                      	 0.13112   0.86341   0.22444  -1.21897  
  #12	15   	-10534.44904	Yes        	4        	1.169    	0.028    	 0.25095   0.24659   0.30983   0.19263	-1.03492   0.21465   0.73807   0.08220  
      	     	          	           	          	           	             	                                      	 0.21845  -1.05618   0.27729   0.56044  
      	     	          	           	          	           	             	                                      	 0.59782   0.22069  -0.92732   0.10880  
      	     	          	           	          	           	             	                                      	 0.10709   0.71741   0.17500  -0.99950  
