Accession	Length(aa)	Species	Refseq_link	Gene_name	Gene_synonyms	Description	Protein_product_names	Protein_product_notes	Region_names	Region_notes	
NP_001019626	569	Homo sapiens	NM_001024455	RTL5	6430402L03Rik; MAR5; MART5; RGAG4; SIRH8	retrotransposon Gag-like protein 5 [Homo sapiens].	retrotransposon Gag-like protein 5	retrotransposon gag domain containing 4; retrotransposon gag domain-containing protein 4; Sushi-Ichi retrotransposon homolog 8; mammalian retrotransposon-derived 5	DUF4939,Retrotrans_gag	Domain of unknown function (DUF4939); pfam16297,Retrotransposon gag protein; pfam03732
NP_001035242	325	Homo sapiens	NM_001040152	PEG10	EDR; HB-1; Mar2; Mart2; MEF3L; RGAG3; RTL2; SIRH1	retrotransposon-derived protein PEG10 isoform 2 [Homo sapiens].	retrotransposon-derived protein PEG10 isoform 2	embryonal carcinoma differentiation regulated; MEF3 like 1; ty3/Gypsy-like protein; paternally expressed gene 10 protein; myelin expression factor 3-like protein 1; mammalian retrotransposon-derived protein 2; retrotransposon-derived gag-like polyprotein; retrotransposon gag domain-containing protein 3; retrotransposon-derived protein PEG10; Sushi-Ichi retrotransposon homolog 1; mammalian retrotransposon-derived 2; retrotransposon Gag like 2	SHE3,Necessary for interaction with ALK1. /evidence=ECO:0000269|PubMed:15611116,DUF4939,Retrotrans_gag	SWI5-dependent HO expression protein 3; pfam17078,propagated from UniProtKB/Swiss-Prot (Q86TG7.2),Domain of unknown function (DUF4939); pfam16297,Retrotransposon gag protein; pfam03732
NP_001071639	113	Homo sapiens	NM_001078171	RTL8C	CXX1; FAM127A; Mar8; MAR8C; Mart8; MART8C; SIRH5	retrotransposon Gag-like protein 8C [Homo sapiens].	retrotransposon Gag-like protein 8C	CAAX box 1; mammalian retrotransposon derived protein 8C; protein FAM127A; family with sequence similarity 127 member A; Sushi-Ichi retrotransposon homolog 5; mammalian retrotransposon-derived 8C; retrotransposon Gag-like protein 8B	DUF4939	Domain of unknown function (DUF4939); pfam16297
NP_001071640	113	Homo sapiens	NM_001078172	RTL8A	CXX1b; FAM127B; MAR8A; SIRH6	retrotransposon Gag-like protein 8A isoform 1 [Homo sapiens].	retrotransposon Gag-like protein 8A isoform 1	mammalian retrotransposon derived protein 8A; protein FAM127B; family with sequence similarity 127 member B; Sushi-Ichi retrotransposon homolog 6; mammalian retrotransposon-derived 8A; retrotransposon Gag-like protein 8A	DUF4939	Domain of unknown function (DUF4939); pfam16297
NP_001071641	113	Homo sapiens	NM_001078173	RTL8B	CXX1c; FAM127C; MAR8B; SIRH4	retrotransposon Gag-like protein 8B [Homo sapiens].	retrotransposon Gag-like protein 8B	mammalian retrotransposon derived protein 8B; protein FAM127C; family with sequence similarity 127 member C; Sushi-Ichi retrotransposon homolog 1; mammalian retrotransposon-derived 2	DUF4939	Domain of unknown function (DUF4939); pfam16297
NP_001096619	378	Homo sapiens	NM_001103149	PNMA8A	PNMAL1	paraneoplastic antigen-like protein 8A isoform b [Homo sapiens].	paraneoplastic antigen-like protein 8A isoform b	PNMA-like protein 1; paraneoplastic Ma antigen family like 1; paraneoplastic Ma antigen family member 8A; paraneoplastic antigen-like protein 8A	PNMA	PNMA; pfam14893
NP_001096620	448	Homo sapiens	NM_001103150	PNMA5		paraneoplastic antigen-like protein 5 [Homo sapiens].	paraneoplastic antigen-like protein 5	tumor antigen BJ-HCC-25; paraneoplastic Ma antigen family member 5	PNMA	PNMA; pfam14893
NP_001096621	448	Homo sapiens	NM_001103151	PNMA5		paraneoplastic antigen-like protein 5 [Homo sapiens].	paraneoplastic antigen-like protein 5	tumor antigen BJ-HCC-25; paraneoplastic Ma antigen family member 5	PNMA	PNMA; pfam14893
NP_001127793	83	Homo sapiens	NM_001134321	RTL8A	CXX1b; FAM127B; MAR8A; SIRH6	retrotransposon Gag-like protein 8A isoform 2 [Homo sapiens].	retrotransposon Gag-like protein 8A isoform 2	mammalian retrotransposon derived protein 8A; protein FAM127B; family with sequence similarity 127 member B; Sushi-Ichi retrotransposon homolog 6; mammalian retrotransposon-derived 8A; retrotransposon Gag-like protein 8A	DUF4939	Domain of unknown function (DUF4939); pfam16297
NP_001128360	1358	Homo sapiens	NM_001134888	RTL1	HUR1; Mar1; MART1; PEG11; SIRH2	retrotransposon-like protein 1 [Homo sapiens].	retrotransposon-like protein 1	retrotransposon-like 1; mammalian retrotransposon derived protein 1; paternally expressed gene 11 protein; retrotransposon-derived protein PEG11; Sushi-Ichi retrotransposon homolog 2; mammalian retrotransposon-derived 1; paternally expressed 11	SWIRM-assoc_2,DUF4939,Retrotrans_gag,retropepsin_like,RT_LTR,RNase_H_like	SWIRM-associated domain at the N-terminal; pfam16496,Domain of unknown function (DUF4939); pfam16297,Retrotransposon gag protein; pfam03732,Retropepsins; pepsin-like aspartate proteases; cd00303,RT_LTR: Reverse transcriptases (RTs) from retrotransposons and retroviruses which have long terminal repeats (LTRs) in their DNA copies but not in their RNA template. RT catalyzes DNA replication from an RNA template, and is responsible for the...; cd01647,Ribonuclease H-like superfamily, including RNase H, HI, HII, HIII, and RNase-like domain IV of spliceosomal protein Prp8; cl14782
NP_001137450	403	Homo sapiens	NM_001143978	ZCCHC18	PNMA7B; SIZN2	zinc finger CCHC domain-containing protein 18 [Homo sapiens].	zinc finger CCHC domain-containing protein 18	putative zinc finger CCHC domain-containing protein 18; paraneoplastic Ma antigen family member 7B; zinc finger, CCHC domain containing 12 pseudogene 1	PNMA	PNMA; pfam14893
