NP_001019626.1	NP_001019626.1-DUF4939-153-228
NP_001035242.1	NP_001035242.1-DUF4939-76-158
NP_001071639.1	NP_001071639.1-DUF4939-3-113
NP_001071640.1	NP_001071640.1-DUF4939-3-113
NP_001071641.1	NP_001071641.1-DUF4939-5-113
NP_001096619.1	NP_001096619.1-PNMA-5-363
NP_001096620.1	NP_001096620.1-PNMA-1-322
NP_001096621.1	NP_001096621.1-PNMA-1-322
NP_001127793.1	NP_001127793.1-DUF4939-3-65
NP_001128360.1	NP_001128360.1-DUF4939-199-281
NP_001137450.1	NP_001137450.1-PNMA-12-212
NP_001165908.1	NP_001165908.1-Retrotrans_gag-196-287
NP_001165909.1	NP_001165909.1-Retrotrans_gag-196-287
NP_001171853.1	NP_001171853.1-PNMA-1-322
NP_001171890.1	NP_001171890.1-Retrotrans_gag-154-245
NP_001171891.1	NP_001171891.1-Retrotrans_gag-154-245
NP_001269464.1	NP_001269464.1-PNMA-1-326
NP_001299820.1	NP_001299820.1-PNMA-15-212
NP_001338222.1	NP_001338222.1-PNMA-1-48
NP_001338223.1	NP_001338223.1-PNMA-1-48
NP_001341909.1	NP_001341909.1-PNMA-1-124
NP_001354699.1	NP_001354699.1-PNMA-1-123
NP_006020.4	NP_006020.4-PNMA-1-324
NP_009188.1	NP_009188.1-PNMA-1-328
NP_036449.1	NP_036449.1-DUF4939-25-137
NP_037496.4	NP_037496.4-PNMA-1-326
NP_055883.2	NP_055883.2-DUF4939-77-158
NP_056008.1	NP_056008.1-Arc_C-278-360
NP_060685.2	NP_060685.2-PNMA-5-363
NP_065760.1	NP_065760.1-PNMA-1-138
NP_071434.2	NP_071434.2-PNMA-1-326
NP_078903.3	NP_078903.3-DUF4939-95-178
NP_114429.2	NP_114429.2-PNMA-2-80
NP_115663.2	NP_115663.2-DUF4939-96-177
NP_116271.3	NP_116271.3-PNMA-1-318
NP_443158.1	NP_443158.1-PNMA-1-322
NP_689907.1	NP_689907.1-DUF4939-235-317
NP_776159.1	NP_776159.1-PNMA-15-212
XP_011511643.1	XP_011511643.1-Gag_p24-353-552
XP_011525369.1	XP_011525369.1-PNMA-5-363
XP_011529314.1	XP_011529314.1-PNMA-12-212
XP_011542667.1	XP_011542667.1-PNMA-1-328
XP_016863109.1	XP_016863109.1-Gag_p24-312-512
XP_016884741.1	XP_016884741.1-PNMA-1-322
XP_016884742.1	XP_016884742.1-PNMA-1-322
XP_024308194.1	XP_024308194.1-PNMA-1-48
