Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
RTL8C_Homo_sapiens_NM_001078171	Reference	0	0	342
RTL8B_Homo_sapiens_NM_001078173	Reference	0	0	342
RTL8A_Homo_sapiens_NM_001078172	Reference	0	0	342
LOC101423010_Dasypus_novemcinctus_XM_023584416	Intact	0	0	333
LOC101423447_Dasypus_novemcinctus_XM_023584414	Intact	0	0	333
LOC100053981_Equus_caballus_XM_005614517	Intact	0	0	342
LOC100683463_Canis_lupus_familiaris_XM_005641847	Intact	0	0	342
LOC102882834_Pteropus_alecto_XM_006921513	Intact	0	0	342
LOC100521485_Sus_scrofa_XM_003135416	Intact	0	0	342
RTL8C_Ovis_aries_XM_004022320	Intact	0	0	342
FAM127A_Bos_taurus_BC116150	Intact	0	0	342
LOC100666215_Loxodonta_africana_XM_010600426	Intact	0	0	342
RTL8C_Callithrix_jacchus_XM_002763289	Intact	0	0	342
FAM127A_Macaca_mulatta_NM_001194127	Intact	0	0	342
FAM127C_Macaca_mulatta_NM_001194136	Intact	0	0	342
LOC100403549_Callithrix_jacchus_XM_008989941	Intact	0	0	342
Cxx1b_Mus_musculus_BC029838	Intact	0	0	342
Fam127c_Rattus_norvegicus_XM_001053139	Intact	0	0	342
LOC100750952_Cricetulus_griseus_XM_003516199	Intact	0	0	339
AK013603_Mus_musculus_AK013603	Intact	0	0	339
Rtl8a_Rattus_norvegicus_NM_001100998	Intact	0	0	342
