ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_17;start=35094045;end=35095233"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_80;start=6538619;end=6539861"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_79;start=949904;end=950342"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_11;start=26083530;end=26084610"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_11;start=26076920;end=26085824"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_11;start=26076920;end=26084610"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_11;start=26083425;end=26085824"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_11;start=26083425;end=26084610"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_11;start=26083530;end=26085824"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_20;start=17937711;end=17938773"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_197;start=331688;end=333057"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_197;start=331689;end=333057"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_197;start=331689;end=333057"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_197;start=331689;end=333057"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_197;start=331689;end=333057"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_197;start=331689;end=333057"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_197;start=331689;end=333057"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_148;start=2183707;end=2186224"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_148;start=2183707;end=2186224"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_148;start=2183707;end=2186224"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_148;start=2183707;end=2186224"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_148;start=2183719;end=2186224"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_80;start=6596126;end=6598023"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_111;start=951339;end=955421"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_26;start=25219026;end=25220853"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_216;start=758448;end=759170"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_79;start=7387392;end=7387737"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_79;start=7386992;end=7387737"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_79;start=7392947;end=7393286"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_79;start=7369444;end=7369786"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_46;start=832277;end=833492"
ucscApiClient -p "/getData/sequence" "genome=cavPor3;chrom=scaffold_46;start=832277;end=833492"
