qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERV15I_3-Gag_p30-31-83	96	EU033267.1	1553	6.89e-58	496	195	100.000	100.00	96	0	1	96	250	537	1	9606	Homo sapiens	human	Homo sapiens isolate b0129 AZFa meiotic duplication sequence
HERV15I_3-Gag_p30-31-83	96	EU033253.1	1553	6.89e-58	496	195	100.000	100.00	96	0	1	96	250	537	1	9606	Homo sapiens	human	Homo sapiens isolate a0125 AZFa meiotic duplication sequence
HERV15I_3-Gag_p30-31-83	96	EU033402.1	1556	7.02e-58	496	195	100.000	100.00	96	0	1	96	252	539	3	9606	Homo sapiens	human	Homo sapiens isolate e06 AZFa meiotic deletion sequence
HERV15I_3-Gag_p30-31-83	96	EU033363.1	1556	7.02e-58	496	195	100.000	100.00	96	0	1	96	252	539	3	9606	Homo sapiens	human	Homo sapiens isolate b03 AZFa meiotic deletion sequence
HERV15I_3-Gag_p30-31-83	96	EU033284.1	1556	7.02e-58	496	195	100.000	100.00	96	0	1	96	253	540	1	9606	Homo sapiens	human	Homo sapiens isolate c0140 AZFa meiotic duplication sequence
HERV15I_3-Gag_p30-31-83	96	EU033273.1	1554	7.02e-58	496	195	100.000	100.00	96	0	1	96	250	537	1	9606	Homo sapiens	human	Homo sapiens isolate b3363 AZFa meiotic duplication sequence
HERV15I_3-Gag_p30-31-83	96	EU033261.1	1554	7.02e-58	496	195	100.000	100.00	96	0	1	96	250	537	1	9606	Homo sapiens	human	Homo sapiens isolate a2422 AZFa meiotic duplication sequence
HERV15I_3-Gag_p30-31-83	96	EU033420.1	1557	7.17e-58	496	195	100.000	100.00	96	0	1	96	254	541	2	9606	Homo sapiens	human	Homo sapiens isolate f12179 AZFa meiotic deletion sequence
HERV15I_3-Gag_p30-31-83	96	EU033418.1	1557	7.17e-58	496	195	100.000	100.00	96	0	1	96	254	541	2	9606	Homo sapiens	human	Homo sapiens isolate f10372 AZFa meiotic deletion sequence
HERV15I_3-Gag_p30-31-83	96	EU033350.1	1558	7.17e-58	496	195	100.000	100.00	96	0	1	96	254	541	2	9606	Homo sapiens	human	Homo sapiens isolate a02 AZFa meiotic deletion sequence
HERV15I_3-Gag_p30-31-83	96	EU033349.1	1558	7.17e-58	496	195	100.000	100.00	96	0	1	96	254	541	2	9606	Homo sapiens	human	Homo sapiens isolate a01 AZFa meiotic deletion sequence
HERV15I_3-Gag_p30-31-83	96	AJ511662.1	3360	1.40e-55	496	195	100.000	100.00	96	0	1	96	242	529	2	210769	Human endogenous retrovirus 15	Human endogenous retrovirus 15	Human endogenous retrovirus HERV15 AZFa duplication junction LTR, isolate 1
HERV15I_3-Gag_p30-31-83	96	AJ511664.1	3412	1.42e-55	496	195	100.000	100.00	96	0	1	96	242	529	2	210769	Human endogenous retrovirus 15	Human endogenous retrovirus 15	Human endogenous retrovirus HERV15 AZFa distal LTR, isolate 2
HERV15I_3-Gag_p30-31-83	96	AJ511665.1	3422	1.42e-55	496	195	100.000	100.00	96	0	1	96	242	529	2	210769	Human endogenous retrovirus 15	Human endogenous retrovirus 15	Human endogenous retrovirus HERV15 AZFa duplication junction LTR, isolate 2
HERV15I_3-Gag_p30-31-83	96	AJ511667.1	3428	1.42e-55	496	195	100.000	100.00	96	0	1	96	242	529	2	210769	Human endogenous retrovirus 15	Human endogenous retrovirus 15	Human endogenous retrovirus HERV15 AZFa distal LTR, YCC26 cells
HERV15I_3-Gag_p30-31-83	96	AJ511661.1	3427	1.42e-55	496	195	100.000	100.00	96	0	1	96	242	529	2	210769	Human endogenous retrovirus 15	Human endogenous retrovirus 15	Human endogenous retrovirus HERV15 AZFa distal LTR, isolate 1
HERV15I_3-Gag_p30-31-83	96	AJ511663.1	3430	1.42e-55	496	195	100.000	100.00	96	0	1	96	247	534	1	210769	Human endogenous retrovirus 15	Human endogenous retrovirus 15	Human endogenous retrovirus HERV15 AZFa proximal LTR, isolate 2
HERV15I_3-Gag_p30-31-83	96	AJ511660.1	3430	1.42e-55	496	195	100.000	100.00	96	0	1	96	245	532	2	210769	Human endogenous retrovirus 15	Human endogenous retrovirus 15	Human endogenous retrovirus HERV15 AZFa proximal LTR, isolate 1
HERV15I_3-Gag_p30-31-83	96	NG_042306.1	9477	1.51e-55	496	195	100.000	100.00	96	0	1	96	1733	2020	2	9606	Homo sapiens	human	Homo sapiens AZFa HERV15yq1 recombination region (LOC106128902) on chromosome Y
HERV15I_3-Gag_p30-31-83	96	AF290422.1	9747	1.51e-55	496	195	100.000	100.00	96	0	1	96	2122	2409	1	9606	Homo sapiens	human	Homo sapiens endogenous retrovirus HERV15yq1, complete sequence
HERV15I_3-Gag_p30-31-83	96	AF290423.1	9969	1.51e-55	496	195	100.000	100.00	96	0	1	96	793	1080	1	9606	Homo sapiens	human	Homo sapiens endogenous retrovirus HERV15yq2, complete sequence
HERV15I_3-Gag_p30-31-83	96	NG_042307.1	10974	1.51e-55	496	195	100.000	100.00	96	0	1	96	1694	1981	2	9606	Homo sapiens	human	Homo sapiens AZFa HERV15yq2 recombination region (LOC108004538) on chromosome Y
HERV15I_3-Gag_p30-31-83	96	AC002992.1	154848	1.52e-55	496	195	100.000	100.00	96	0	1	96	10538	10825	2	9606	Homo sapiens	human	Homo sapiens chromosome Y, clone 203M13, complete sequence
HERV15I_3-Gag_p30-31-83	96	AC002992.1	154848	4.52e-10	159	65.9	41.111	58.89	90	1	3	92	55709	55455	-2	9606	Homo sapiens	human	Homo sapiens chromosome Y, clone 203M13, complete sequence
HERV15I_3-Gag_p30-31-83	96	AC245171.2	167215	1.52e-55	496	195	100.000	100.00	96	0	1	96	115983	116270	3	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-206P20 from chromosome y, complete sequence
HERV15I_3-Gag_p30-31-83	96	AC245171.2	167215	4.52e-10	159	65.9	41.111	58.89	90	1	3	92	161150	160896	-3	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-206P20 from chromosome y, complete sequence
