PubmedID	Genes	Accessions	Refseq_accessions	Authors	Journal	Title
10050892	PNMA1,PNMA2	NP_006020,NP_009188	NM_006029,NM_007257	Dalmau J, Gultekin SH, Voltz R, Hoard R, DesChamps T, Balmaceda C, Batchelor T, Gerstner E, Eichen J, Frennier J, Posner JB and Rosenfeld MR.	Brain 122 (Pt 1), 27-39 (1999)	Ma1, a novel neuron- and testis-specific protein, is recognized by the serum of patients with paraneoplastic neurological disorders
10362822	PNMA2	NP_009188	NM_007257	Voltz R, Gultekin SH, Rosenfeld MR, Gerstner E, Eichen J, Posner JB and Dalmau J.	N Engl J Med 340 (23), 1788-1795 (1999)	A serologic marker of paraneoplastic limbic and brain-stem encephalitis in patients with testicular cancer
10403563	LDOC1	NP_036449	NM_012317	Nagasaki K, Manabe T, Hanzawa H, Maass N, Tsukada T and Yamaguchi K.	Cancer Lett 140 (1-2), 227-234 (1999)	Identification of a novel gene, LDOC1, down-regulated in cancer cell lines
10574461	PNMA8B	NP_065760	NM_020709	Hirosawa M, Nagase T, Ishikawa K, Kikuno R, Nomura N and Ohara O.	DNA Res 6 (5), 329-336 (1999)	Characterization of cDNA clones selected by the GeneMark analysis from size-fractionated cDNA libraries from human brain
10854409	PNMA6A,PNMA6F	NP_001341909,NP_116271	NM_001354980,NM_032882	Mallon AM, Platzer M, Bate R, Gloeckner G, Botcherby MR, Nordsiek G, Strivens MA, Kioschis P, Dangel A, Cunningham D, Straw RN, Weston P, Gilbert M, Fernando S, Goodall K, Hunter G, Greystrong JS, Clarke D, Kimberley C, Goerdes M, Blechschmidt K, Rump A, Hinzmann B, Mundy CR, Miller W, Poustka A, Herman GE, Rhodes M, Denny P, Rosenthal A and Brown SD.	Genome Res 10 (6), 758-775 (2000)	Comparative genome sequence analysis of the Bpa/Str region in mouse and Man
10970730	ARC	NP_056008	NM_015193	Haug K, Kremerskothen J, Hallmann K, Sander T, Dullinger J, Rau B, Beyenburg S, Lentze MJ, Barnekow A, Elger CE, Propping P and Heils A.	Mol Cell Probes 14 (4), 255-260 (2000)	Mutation screening of the chromosome 8q24.3-human activity-regulated cytoskeleton-associated gene (ARC) in idiopathic generalized epilepsy
11060313	MOAP1	NP_071434	NM_022151	Tan KO, Tan KM, Chan SL, Yee KS, Bevort M, Ang KC and Yu VC.	J Biol Chem 276 (4), 2802-2807 (2001)	MAP-1, a novel proapoptotic protein containing a BH3-like motif that associates with Bax through its Bcl-2 homology domains
11117363	ARC	NP_056008	NM_015193	Kremerskothen J and Barnekow A.	Chromosome Res 8 (7), 655 (2000)	Human activity-regulated cytoskeleton-associated gene (ARC) maps to chromosome 8q24
11158386	PEG10	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	Volff,J., Korting,C. and Schartl,M.	Mol Biol Evol 18 (2), 266-270 (2001)	Ty3/Gypsy retrotransposon fossils in mammalian genomes: did they evolve into new cellular functions?
11256614	MOAP1	NP_071434	NM_022151	Simpson JC, Wellenreuther R, Poustka A, Pepperkok R and Wiemann S.	EMBO Rep 1 (3), 287-292 (2000)	Systematic subcellular localization of novel proteins identified by large-scale cDNA sequencing
11318613	PEG10	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	Ono R, Kobayashi S, Wagatsuma H, Aisaka K, Kohda T, Kaneko-Ishino T and Ishino F.	Genomics 73 (2), 232-237 (2001)	A retrotransposon-derived gene, PEG10, is a novel imprinted gene located on human chromosome 7q21
11558790	PNMA2,PNMA3	NP_001269464,NP_009188,NP_037496	NM_001282535,NM_007257,NM_013364	Rosenfeld MR, Eichen JG, Wade DF, Posner JB and Dalmau J.	Ann Neurol 50 (3), 339-348 (2001)	Molecular and clinical diversity in paraneoplastic immunity to Ma proteins
11574691	PEG10	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	Shigemoto K, Brennan J, Walls E, Watson CJ, Stott D, Rigby PW and Reith AD.	Nucleic Acids Res 29 (19), 4079-4088 (2001)	Identification and characterisation of a developmentally regulated mammalian gene that utilises -1 programmed ribosomal frameshifting
12056414	RTL5	NP_001019626	NM_001024455	Ohara O, Nagase T, Mitsui G, Kohga H, Kikuno R, Hiraoka S, Takahashi Y, Kitajima S, Saga Y and Koseki H.	DNA Res 9 (2), 47-57 (2002)	Characterization of size-fractionated cDNA libraries generated by the in vitro recombination-assisted method
12107411	PNMA8A	NP_001096619,NP_060685	NM_001103149,NM_018215	Wistow G, Bernstein SL, Wyatt MK, Ray S, Behal A, Touchman JW, Bouffard G, Smith D and Peterson K.	Mol Vis 8, 196-204 (2002)	Expressed sequence tag analysis of human retina for the NEIBank Project: retbindin, an abundant, novel retinal cDNA and alternative splicing of other retina-preferred gene transcripts
12477932	PNMA8B	NP_065760	NM_020709	Strausberg RL, Feingold EA, Grouse LH, Derge JG, Klausner RD, Collins FS, Wagner L, Shenmen CM, Schuler GD, Altschul SF, Zeeberg B, Buetow KH, Schaefer CF, Bhat NK, Hopkins RF, Jordan H, Moore T, Max SI, Wang J, Hsieh F, Diatchenko L, Marusina K, Farmer AA, Rubin GM, Hong L, Stapleton M, Soares MB, Bonaldo MF, Casavant TL, Scheetz TE, Brownstein MJ, Usdin TB, Toshiyuki S, Carninci P, Prange C, Raha SS, Loquellano NA, Peters GJ, Abramson RD, Mullahy SJ, Bosak SA, McEwan PJ, McKernan KJ, Malek JA, Gunaratne PH, Richards S, Worley KC, Hale S, Garcia AM, Gay LJ, Hulyk SW, Villalon DK, Muzny DM, Sodergren EJ, Lu X, Gibbs RA, Fahey J, Helton E, Ketteman M, Madan A, Rodrigues S, Sanchez A, Whiting M, Madan A, Young AC, Shevchenko Y, Bouffard GG, Blakesley RW, Touchman JW, Green ED, Dickson MC, Rodriguez AC, Grimwood J, Schmutz J, Myers RM, Butterfield YS, Krzywinski MI, Skalska U, Smailus DE, Schnerch A, Schein JE, Jones SJ and Marra MA.	Proc Natl Acad Sci U S A 99 (26), 16899-16903 (2002)	Generation and initial analysis of more than 15,000 full-length human and mouse cDNA sequences
12712434	LDOC1	NP_036449	NM_012317	Nagasaki K, Schem C, von Kaisenberg C, Biallek M, Rosel F, Jonat W and Maass N.	Int J Cancer 105 (4), 454-458 (2003)	Leucine-zipper protein, LDOC1, inhibits NF-kappaB activation and sensitizes pancreatic cancer cells to apoptosis
12796779	RTL1	NP_001128360	NM_001134888	Seitz H, Youngson N, Lin SP, Dalbert S, Paulsen M, Bachellerie JP, Ferguson-Smith AC and Cavaille J.	Nat Genet 34 (3), 261-262 (2003)	Imprinted microRNA genes transcribed antisense to a reciprocally imprinted retrotransposon-like gene
14676191	PNMA1	NP_006020	NM_006029	Brajenovic M, Joberty G, Kuster B, Bouwmeester T and Drewes G.	J Biol Chem 279 (13), 12804-12811 (2004)	Comprehensive proteomic analysis of human Par protein complexes reveals an interconnected protein network
15201193	PNMA1	NP_006020	NM_006029	Pellkofer H, Schubart AS, Hoftberger R, Schutze N, Pagany M, Schuller M, Lassmann H, Hohlfeld R, Voltz R and Linington C.	Brain 127 (Pt 8), 1822-1830 (2004)	Modelling paraneoplastic CNS disease: T-cells specific for the onconeuronal antigen PNMA1 mediate autoimmune encephalomyelitis in the rat
15461802	RTL6	NP_115663	NM_032287	Collins JE, Wright CL, Edwards CA, Davis MP, Grinham JA, Cole CG, Goward ME, Aguado B, Mallya M, Mokrab Y, Huckle EJ, Beare DM and Dunham I.	Genome Biol 5 (10), R84 (2004)	A genome annotation-driven approach to cloning the human ORFeome
15537891	ARC	NP_056008	NM_015193	Lacor PN, Buniel MC, Chang L, Fernandez SJ, Gong Y, Viola KL, Lambert MP, Velasco PT, Bigio EH, Finch CE, Krafft GA and Klein WL.	J Neurosci 24 (45), 10191-10200 (2004)	Synaptic targeting by Alzheimer's-related amyloid beta oligomers
15588942	LDOC1	NP_036449	NM_012317	Chih DY, Park DJ, Gross M, Idos G, Vuong PT, Hirama T, Chumakov AM, Said J and Koeffler HP.	Exp Hematol 32 (12), 1173-1181 (2004)	Protein partners of C/EBPepsilon
15611116	PEG10	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	Lux A, Beil C, Majety M, Barron S, Gallione CJ, Kuhn HM, Berg JN, Kioschis P, Marchuk DA and Hafner M.	J Biol Chem 280 (9), 8482-8493 (2005)	Human retroviral gag- and gag-pol-like proteins interact with the transforming growth factor-beta receptor activin receptor-like kinase 1
15670815	LDOC1	NP_036449	NM_012317	Inoue M, Takahashi K, Niide O, Shibata M, Fukuzawa M and Ra C.	FEBS Lett 579 (3), 604-608 (2005)	LDOC1, a novel MZF-1-interacting protein, induces apoptosis
15716091	LDOC1,RTL3,RTL5,RTL6,RTL8A,RTL8B,RTL8C	NP_001019626,NP_001071639,NP_001071640,NP_001071641,NP_001127793,NP_036449,NP_115663,NP_689907	NM_001024455,NM_001078171,NM_001078172,NM_001078173,NM_001134321,NM_012317,NM_032287,NM_152694	Brandt J, Schrauth S, Veith AM, Froschauer A, Haneke T, Schultheis C, Gessler M, Leimeister C and Volff JN.	Gene 345 (1), 101-111 (2005)	Transposable elements as a source of genetic innovation: expression and evolution of a family of retrotransposon-derived neogenes in mammals
15767280	PEG10	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	Manktelow E, Shigemoto K and Brierley I.	Nucleic Acids Res 33 (5), 1553-1563 (2005)	Characterization of the frameshift signal of Edr, a mammalian example of programmed -1 ribosomal frameshifting
15772651	RTL8C	NP_001071639	NM_001078171	Ross MT, Grafham DV, Coffey AJ, Scherer S, McLay K, Muzny D, Platzer M, Howell GR, Burrows C, Bird CP, Frankish A, Lovell FL, Howe KL, Ashurst JL, Fulton RS, Sudbrak R, Wen G, Jones MC, Hurles ME, Andrews TD, Scott CE, Searle S, Ramser J, Whittaker A, Deadman R, Carter NP, Hunt SE, Chen R, Cree A, Gunaratne P, Havlak P, Hodgson A, Metzker ML, Richards S, Scott G, Steffen D, Sodergren E, Wheeler DA, Worley KC, Ainscough R, Ambrose KD, Ansari-Lari MA, Aradhya S, Ashwell RI, Babbage AK, Bagguley CL, Ballabio A, Banerjee R, Barker GE, Barlow KF, Barrett IP, Bates KN, Beare DM, Beasley H, Beasley O, Beck A, Bethel G, Blechschmidt K, Brady N, Bray-Allen S, Bridgeman AM, Brown AJ, Brown MJ, Bonnin D, Bruford EA, Buhay C, Burch P, Burford D, Burgess J, Burrill W, Burton J, Bye JM, Carder C, Carrel L, Chako J, Chapman JC, Chavez D, Chen E, Chen G, Chen Y, Chen Z, Chinault C, Ciccodicola A, Clark SY, Clarke G, Clee CM, Clegg S, Clerc-Blankenburg K, Clifford K, Cobley V, Cole CG, Conquer JS, Corby N, Connor RE, David R, Davies J, Davis C, Davis J, Delgado O, Deshazo D, Dhami P, Ding Y, Dinh H, Dodsworth S, Draper H, Dugan-Rocha S, Dunham A, Dunn M, Durbin KJ, Dutta I, Eades T, Ellwood M, Emery-Cohen A, Errington H, Evans KL, Faulkner L, Francis F, Frankland J, Fraser AE, Galgoczy P, Gilbert J, Gill R, Glockner G, Gregory SG, Gribble S, Griffiths C, Grocock R, Gu Y, Gwilliam R, Hamilton C, Hart EA, Hawes A, Heath PD, Heitmann K, Hennig S, Hernandez J, Hinzmann B, Ho S, Hoffs M, Howden PJ, Huckle EJ, Hume J, Hunt PJ, Hunt AR, Isherwood J, Jacob L, Johnson D, Jones S, de Jong PJ, Joseph SS, Keenan S, Kelly S, Kershaw JK, Khan Z, Kioschis P, Klages S, Knights AJ, Kosiura A, Kovar-Smith C, Laird GK, Langford C, Lawlor S, Leversha M, Lewis L, Liu W, Lloyd C, Lloyd DM, Loulseged H, Loveland JE, Lovell JD, Lozado R, Lu J, Lyne R, Ma J, Maheshwari M, Matthews LH, McDowall J, McLaren S, McMurray A, Meidl P, Meitinger T, Milne S, Miner G, Mistry SL, Morgan M, Morris S, Muller I, Mullikin JC, Nguyen N, Nordsiek G, Nyakatura G, O'Dell CN, Okwuonu G, Palmer S, Pandian R, Parker D, Parrish J, Pasternak S, Patel D, Pearce AV, Pearson DM, Pelan SE, Perez L, Porter KM, Ramsey Y, Reichwald K, Rhodes S, Ridler KA, Schlessinger D, Schueler MG, Sehra HK, Shaw-Smith C, Shen H, Sheridan EM, Shownkeen R, Skuce CD, Smith ML, Sotheran EC, Steingruber HE, Steward CA, Storey R, Swann RM, Swarbreck D, Tabor PE, Taudien S, Taylor T, Teague B, Thomas K, Thorpe A, Timms K, Tracey A, Trevanion S, Tromans AC, d'Urso M, Verduzco D, Villasana D, Waldron L, Wall M, Wang Q, Warren J, Warry GL, Wei X, West A, Whitehead SL, Whiteley MN, Wilkinson JE, Willey DL, Williams G, Williams L, Williamson A, Williamson H, Wilming L, Woodmansey RL, Wray PW, Yen J, Zhang J, Zhou J, Zoghbi H, Zorilla S, Buck D, Reinhardt R, Poustka A, Rosenthal A, Lehrach H, Meindl A, Minx PJ, Hillier LW, Willard HF, Wilson RK, Waterston RH, Rice CM, Vaudin M, Coulson A, Nelson DL, Weinstock G, Sulston JE, Durbin R, Hubbard T, Gibbs RA, Beck S, Rogers J and Bentley DR.	Nature 434 (7031), 325-337 (2005)	The DNA sequence of the human X chromosome
15854907	RTL1	NP_001128360	NM_001134888	Davis E, Caiment F, Tordoir X, Cavaille J, Ferguson-Smith A, Cockett N, Georges M and Charlier C.	Curr Biol 15 (8), 743-749 (2005)	RNAi-mediated allelic trans-interaction at the imprinted Rtl1/Peg11 locus
15949439	MOAP1	NP_071434	NM_022151	Baksh S, Tommasi S, Fenton S, Yu VC, Martins LM, Pfeifer GP, Latif F, Downward J and Neel BG.	Mol Cell 18 (6), 637-650 (2005)	The tumor suppressor RASSF1A and MAP-1 link death receptor signaling to Bax conformational change and cell death
16093683	RTL1,RTL3,RTL5,RTL6,RTL8A,RTL8B,RTL8C	NP_001019626,NP_001071639,NP_001071640,NP_001071641,NP_001127793,NP_001128360,NP_115663,NP_689907	NM_001024455,NM_001078171,NM_001078172,NM_001078173,NM_001134321,NM_001134888,NM_032287,NM_152694	Brandt J, Veith AM and Volff JN.	Cytogenet Genome Res 110 (1-4), 307-317 (2005)	A family of neofunctionalized Ty3/gypsy retrotransposon genes in mammalian genomes
16155747	RTL1	NP_001128360	NM_001134888	Youngson NA, Kocialkowski S, Peel N and Ferguson-Smith AC.	J Mol Evol 61 (4), 481-490 (2005)	A small family of sushi-class retrotransposon-derived genes in mammals and their relation to genomic imprinting
16169070	PNMA1,PNMA6A	NP_006020,NP_116271	NM_006029,NM_032882	Stelzl U, Worm U, Lalowski M, Haenig C, Brembeck FH, Goehler H, Stroedicke M, Zenkner M, Schoenherr A, Koeppen S, Timm J, Mintzlaff S, Abraham C, Bock N, Kietzmann S, Goedde A, Toksoz E, Droege A, Krobitsch S, Korn B, Birchmeier W, Lehrach H and Wanker EE.	Cell 122 (6), 957-968 (2005)	A human protein-protein interaction network: a resource for annotating the proteome
16199525	MOAP1	NP_071434	NM_022151	Tan KO, Fu NY, Sukumaran SK, Chan SL, Kang JH, Poon KL, Chen BS and Yu VC.	Proc Natl Acad Sci U S A 102 (41), 14623-14628 (2005)	MAP-1 is a mitochondrial effector of Bax
16214224	PNMA1,PNMA2,PNMA3,PNMA5,PNMA6A	NP_001096620,NP_001096621,NP_001171853,NP_001269464,NP_006020,NP_009188,NP_037496,NP_116271,NP_443158	NM_001103150,NM_001103151,NM_001184924,NM_001282535,NM_006029,NM_007257,NM_013364,NM_032882,NM_052926	Schuller M, Jenne D and Voltz R.	J Neuroimmunol 169 (1-2), 172-176 (2005)	The human PNMA family: novel neuronal proteins implicated in paraneoplastic neurological disease
16344548	MOAP1	NP_071434	NM_022151	Vos MD, Dallol A, Eckfeld K, Allen NP, Donninger H, Hesson LB, Calvisi D, Latif F and Clark GJ.	J Biol Chem 281 (8), 4557-4563 (2006)	The RASSF1A tumor suppressor activates Bax via MOAP-1
16344560	PNMA8B	NP_065760	NM_020709	Kimura K, Wakamatsu A, Suzuki Y, Ota T, Nishikawa T, Yamashita R, Yamamoto J, Sekine M, Tsuritani K, Wakaguri H, Ishii S, Sugiyama T, Saito K, Isono Y, Irie R, Kushida N, Yoneyama T, Otsuka R, Kanda K, Yokoi T, Kondo H, Wagatsuma M, Murakawa K, Ishida S, Ishibashi T, Takahashi-Fujii A, Tanase T, Nagai K, Kikuchi H, Nakai K, Isogai T and Sugano S.	Genome Res 16 (1), 55-65 (2006)	Diversification of transcriptional modulation: large-scale identification and characterization of putative alternative promoters of human genes
