Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
NM_012317.4_hg38	Reference	0	0	441
NM_012317.4_panTro4	Intact	0	0	441
NM_012317.4_gorGor3	Intact	0	0	438
NM_012317.4_nomLeu3	Intact	0	0	438
NM_012317.4_rheMac3	Intact	0	0	441
NM_012317.4_macFas5	Intact	0	0	441
NM_012317.4_papAnu2	Intact	0	0	441
NM_012317.4_chlSab2	Intact	0	0	441
NM_012317.4_calJac3	Intact	0	0	438
NM_012317.4_otoGar3	Intact	0	0	444
NM_012317.4_speTri2	Intact	0	0	441
NM_012317.4_criGri1	Pseud	1	0	4072
NM_012317.4_mm10	Intact	0	0	456
NM_012317.4_rn6	Intact	0	0	444
NM_012317.4_ailMel1	Intact	0	0	441
NM_012317.4_myoLuc2	Intact	0	0	438
