qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERV-K14I_1-Gag_p24-230-425	557	NG_050957.1	367050	0.0	2171	840	84.794	88.37	559	4	1	556	22370	20715	-2	9606	Homo sapiens	human	Homo sapiens dynein axonemal heavy chain 6 (DNAH6), RefSeqGene on chromosome 2; nuclear gene for mitochondrial product
HERV-K14I_1-Gag_p24-230-425	557	AC096770.3	197605	0.0	2171	840	84.794	88.37	559	4	1	556	62307	60652	-2	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-755P13 from 2, complete sequence
HERV-K14I_1-Gag_p24-230-425	557	AC008155.10	176181	0.0	2135	827	86.111	89.81	540	1	20	557	64988	63369	-2	9606	Homo sapiens	human	Homo sapiens chromosome 7 clone RP11-289F17, complete sequence
HERV-K14I_1-Gag_p24-230-425	557	AC008155.10	176181	5.17e-05	142	59.3	90.000	96.67	30	0	1	30	65044	64955	-3	9606	Homo sapiens	human	Homo sapiens chromosome 7 clone RP11-289F17, complete sequence
HERV-K14I_1-Gag_p24-230-425	557	AC025593.6	184453	0.0	2135	827	86.111	89.81	540	1	20	557	137269	135650	-1	9606	Homo sapiens	human	Homo sapiens chromosome 7 clone RP11-18L16, complete sequence
HERV-K14I_1-Gag_p24-230-425	557	AC025593.6	184453	5.17e-05	142	59.3	90.000	96.67	30	0	1	30	137325	137236	-2	9606	Homo sapiens	human	Homo sapiens chromosome 7 clone RP11-18L16, complete sequence
HERV-K14I_1-Gag_p24-230-425	557	AC197931.3	139380	0.0	2057	796	83.613	88.08	537	2	1	537	83187	81583	-1	9544	Macaca mulatta	Rhesus monkey	MACACA MULATTA BAC clone CH250-443C13 from chromosome 10, complete sequence
HERV-K14I_1-Gag_p24-230-425	557	AC197931.3	139380	1.24e-05	148	61.6	40.625	47.92	96	1	462	557	81806	81522	-2	9544	Macaca mulatta	Rhesus monkey	MACACA MULATTA BAC clone CH250-443C13 from chromosome 10, complete sequence
HERV-K14I_1-Gag_p24-230-425	557	AP023479.1	59105444	0.0	1975	765	77.878	82.37	556	3	1	556	12337329	12338822	3	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 19, nearly complete genome
HERV-K14I_1-Gag_p24-230-425	557	AP023479.1	59105444	0.0	863	337	84.921	88.89	252	0	20	271	20215328	20214573	-1	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 19, nearly complete genome
HERV-K14I_1-Gag_p24-230-425	557	AP023479.1	59105444	0.0	854	333	84.536	88.66	194	0	263	456	20214576	20213995	-3	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 19, nearly complete genome
HERV-K14I_1-Gag_p24-230-425	557	AP023479.1	59105444	0.0	269	108	79.104	88.06	67	1	449	515	20214020	20213823	-1	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 19, nearly complete genome
HERV-K14I_1-Gag_p24-230-425	557	AP023479.1	59105444	0.0	93	40.4	86.364	90.91	22	0	1	22	20215384	20215319	-2	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 19, nearly complete genome
HERV-K14I_1-Gag_p24-230-425	557	AP023479.1	59105444	1.07e-169	1404	545	70.925	76.87	454	3	115	557	58378948	58380267	1	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 19, nearly complete genome
HERV-K14I_1-Gag_p24-230-425	557	AP023479.1	59105444	6.49e-132	558	219	92.857	94.64	112	0	249	360	51851479	51851144	-2	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 19, nearly complete genome
HERV-K14I_1-Gag_p24-230-425	557	AP023479.1	59105444	6.49e-132	541	213	83.065	87.90	124	0	353	476	51851168	51850797	-1	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 19, nearly complete genome
HERV-K14I_1-Gag_p24-230-425	557	AP023479.1	59105444	6.49e-132	231	93.6	91.667	91.67	48	0	199	246	51851628	51851485	-3	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 19, nearly complete genome
