Gene	Synonyms	Accessions	Refseq_accs	Products	Regions	References
ARC	Arg3.1; hArc	NP_056008	NM_015193	activity-regulated cytoskeleton-associated protein	Interaction with DNM2. /evidence=ECO:0000250|UniProtKB:Q63053,Interaction with SH3GL1 or SH3GL3. /evidence=ECO:0000250|UniProtKB:Q63053	PMID_10970730,PMID_11117363,PMID_15537891,PMID_17120280,PMID_17466953,PMID_21834987,PMID_30796345,PMID_31826916,PMID_31911950,PMID_32296183
CCDC8	3M3; p90; PPP1R20	NP_114429	NM_032040	coiled-coil domain-containing protein 8	OM_channels,PNMA,PxLPxI/L motif, mediates interaction with ANKRA2. /evidence=ECO:0000269|PubMed:25752541	PMID_19389623,PMID_20301654,PMID_21737058,PMID_22084066,PMID_22156540,PMID_23018678,PMID_25752541,PMID_26423533,PMID_27342910,PMID_28700999
LDOC1	BCUR1; Mar7; Mart7; RTL7; SIRH7	NP_036449	NM_012317	protein LDOC1	DUF4939	PMID_10403563,PMID_12712434,PMID_15588942,PMID_15670815,PMID_15716091,PMID_29892012,PMID_31002361,PMID_31515488,PMID_31842997,PMID_32296183
LOC105374013		XP_011511643	XM_011513341	endogenous retrovirus group K member 5 Gag polyprotein	Gag_p10,Gag_p24,RPA_2b-aaRSs_OBF_like,zf-CCHC,zf-CCHC_5	
LOC107986113		XP_016863109	XM_017007620	endogenous retrovirus group K member 7 Gag polyprotein		
MOAP1	MAP-1; PNMA4	NP_071434	NM_022151	modulator of apoptosis 1	BH3-like,PNMA,RASSF1-binding	PMID_11060313,PMID_11256614,PMID_15949439,PMID_16199525,PMID_16344548,PMID_29470995,PMID_30132384,PMID_31064356,PMID_31515488,PMID_32296183
PEG10	EDR; HB-1; Mar2; Mart2; MEF3L; RGAG3; RTL2; SIRH1	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	retrotransposon-derived protein PEG10	Alternative start codon,BRLZ,DUF4939,Necessary for interaction with ALK1. /evidence=ECO:0000269|PubMed:15611116,Retrotrans_gag,SHE3,bZIP,retropepsin_like	PMID_11158386,PMID_11318613,PMID_11574691,PMID_15611116,PMID_15767280,PMID_17942406,PMID_20084274,PMID_31515488,PMID_31530569,PMID_31702614
PNMA1	MA1	NP_006020	NM_006029	paraneoplastic antigen Ma1	PNMA	PMID_10050892,PMID_14676191,PMID_15201193,PMID_16169070,PMID_16214224,PMID_27107012,PMID_28514442,PMID_29892012,PMID_31515488,PMID_32296183
PNMA2	MA2; MM2; RGAG2	NP_009188,XP_011542667	NM_007257,XM_011544365	paraneoplastic antigen Ma2	PNMA	PMID_10050892,PMID_10362822,PMID_11558790,PMID_16214224,PMID_17474147,PMID_25910212,PMID_26871637,PMID_27003254,PMID_31515488,PMID_32296183
PNMA3	MA3; MA5	NP_001269464,NP_037496	NM_001282535,NM_013364	paraneoplastic antigen Ma3	PNMA	PMID_11558790,PMID_16214224,PMID_16407312,PMID_32296183
