Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
NM_001172438.3_hg38	Reference	0	0	1206
NM_001172438.3_panTro4	Intact	0	0	1206
NM_001172438.3_gorGor3	Intact	0	0	1206
NM_001172438.3_ponAbe2	Intact	0	0	1209
NM_001172438.3_nomLeu3	Intact	0	0	1206
NM_001172438.3_macFas5	Intact	0	0	1206
NM_001172438.3_papAnu2	Intact	0	0	1206
NM_001172438.3_chlSab2	Intact	0	0	1206
NM_001172438.3_saiBol1	Intact	0	0	1209
NM_001172438.3_otoGar3	Intact	0	0	1215
NM_001172438.3_speTri2	Intact	0	0	1200
NM_001172438.3_mm10	Pseud	1	0	1231
NM_001172438.3_rn6	Pseud	6	0	1339
NM_001172438.3_hetGla2	Intact	0	0	1218
NM_001172438.3_cavPor3	Intact	0	0	1317
NM_001172438.3_oryCun2	Intact	0	0	1227
NM_001172438.3_ochPri3	Intact	0	0	1329
NM_001172438.3_susScr3	Intact	0	0	1212
NM_001172438.3_vicPac2	Intact	0	0	1233
NM_001172438.3_turTru2	Intact	0	0	1209
NM_001172438.3_bosTau8	Intact	0	0	1218
NM_001172438.3_oviAri3	Intact	0	0	1218
NM_001172438.3_cerSim1	Intact	0	0	1224
NM_001172438.3_felCat8	Intact	0	0	1239
NM_001172438.3_canFam3	Intact	0	0	1239
NM_001172438.3_musFur1	Intact	0	0	1239
NM_001172438.3_eriEur2	Intact	0	0	1371
NM_001172438.3_sorAra2	Intact	0	0	1239
NM_001172438.3_triMan1	Intact	0	0	1206
NM_001172438.3_echTel2	Intact	0	0	1305
NM_001172438.3_dasNov3	Intact	0	0	1212
