qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERV-Fc2_4-Gag_p30-211-415	476	AJ507127.1	7997	0.0	2144	830	98.739	98.74	476	0	1	476	726	2153	3	9598	Pan troglodytes	chimpanzee	Chimpanzee endogenous retrovirus gag/pol pseudogene and env gene, clone ERV-Fc1
HERV-Fc2_4-Gag_p30-211-415	476	AL354685.17	155166	0.0	2133	826	98.529	98.53	476	0	1	476	41630	43057	2	9606	Homo sapiens	human	Human DNA sequence from clone RP13-75G22 on chromosome Xq21.33-22.2, complete sequence
HERV-Fc2_4-Gag_p30-211-415	476	AJ507128.1	7998	0.0	1310	509	94.801	95.72	327	0	1	327	722	1702	2	9593	Gorilla gorilla	western gorilla	Gorilla endogenous retrovirus env pseudogene and gag/pol pseudogene, clone ERV-Fc1
HERV-Fc2_4-Gag_p30-211-415	476	AJ507128.1	7998	0.0	757	296	95.484	96.13	155	0	322	476	1689	2153	3	9593	Gorilla gorilla	western gorilla	Gorilla endogenous retrovirus env pseudogene and gag/pol pseudogene, clone ERV-Fc1
HERV-Fc2_4-Gag_p30-211-415	476	XR_001491745.1	1337	1.60e-159	1207	469	78.425	84.93	292	1	183	474	64	936	1	9541	Macaca fascicularis	crab-eating macaque	PREDICTED: Macaca fascicularis ERV-BabFcenv provirus ancestral Env polyprotein-like (LOC107130114), transcript variant X6, misc_RNA
HERV-Fc2_4-Gag_p30-211-415	476	XM_017884442.1	1644	2.42e-159	1216	473	60.656	70.73	427	5	65	476	34	1296	1	61621	Rhinopithecus bieti	black snub-nosed monkey	PREDICTED: Rhinopithecus bieti endogenous retrovirus group K member 10 Gag polyprotein-like (LOC108537246), mRNA
HERV-Fc2_4-Gag_p30-211-415	476	XR_001491742.1	1695	8.85e-158	1207	469	78.425	84.93	292	1	183	474	64	936	1	9541	Macaca fascicularis	crab-eating macaque	PREDICTED: Macaca fascicularis ERV-BabFcenv provirus ancestral Env polyprotein-like (LOC107130114), transcript variant X3, misc_RNA
HERV-Fc2_4-Gag_p30-211-415	476	AC221058.4	196950	5.80e-157	1299	504	58.571	70.41	490	7	7	476	63934	65391	1	9483	Callithrix jacchus	white-tufted-ear marmoset	Callithrix jacchus BAC clone CH259-134J19 from chromosome y, complete sequence
HERV-Fc2_4-Gag_p30-211-415	476	AC221058.4	196950	1.20e-50	484	191	56.024	69.88	166	1	183	342	88802	89299	2	9483	Callithrix jacchus	white-tufted-ear marmoset	Callithrix jacchus BAC clone CH259-134J19 from chromosome y, complete sequence
HERV-Fc2_4-Gag_p30-211-415	476	AC221058.4	196950	1.20e-50	96	41.6	50.000	63.46	52	0	362	413	89355	89510	3	9483	Callithrix jacchus	white-tufted-ear marmoset	Callithrix jacchus BAC clone CH259-134J19 from chromosome y, complete sequence
HERV-Fc2_4-Gag_p30-211-415	476	AC221058.4	196950	2.81e-22	166	68.6	58.621	70.69	58	2	6	62	88303	88470	1	9483	Callithrix jacchus	white-tufted-ear marmoset	Callithrix jacchus BAC clone CH259-134J19 from chromosome y, complete sequence
HERV-Fc2_4-Gag_p30-211-415	476	AC221058.4	196950	2.81e-22	166	68.6	54.545	63.64	55	0	64	118	88473	88637	3	9483	Callithrix jacchus	white-tufted-ear marmoset	Callithrix jacchus BAC clone CH259-134J19 from chromosome y, complete sequence
HERV-Fc2_4-Gag_p30-211-415	476	XM_015452243.1	2012	2.45e-156	1207	469	78.425	84.93	292	1	183	474	64	936	1	9541	Macaca fascicularis	crab-eating macaque	PREDICTED: Macaca fascicularis ERV-BabFcenv provirus ancestral Env polyprotein-like (LOC107130114), transcript variant X2, mRNA
HERV-Fc2_4-Gag_p30-211-415	476	XM_031655796.1	2827	2.43e-153	1209	470	78.912	86.73	294	2	183	476	1263	2135	3	9555	Papio anubis	olive baboon	PREDICTED: Papio anubis uncharacterized LOC116270566 (LOC116270566), mRNA
