qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
XP_016863109.1-Gag_p24-312-512	694	XM_017007620.2	2560	0.0	3505	1354	100.000	100.00	694	0	1	694	146	2227	2	9606	Homo sapiens	human	PREDICTED: Homo sapiens endogenous retrovirus group K member 7 Gag polyprotein (LOC107986113), mRNA
XP_016863109.1-Gag_p24-312-512	694	JN675022.1	9109	0.0	3502	1353	100.000	100.00	694	0	1	694	1103	3184	2	9606	Homo sapiens	human	Homo sapiens isolate HML-2_3q13.2 endogenous virus HERV-K, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC078785.22	185735	0.0	3502	1353	100.000	100.00	694	0	1	694	13330	11249	-2	9606	Homo sapiens	human	Homo sapiens 3 BAC RP11-572M11 (Roswell Park Cancer Institute Human BAC Library) complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC275500.1	127332	0.0	3335	1289	95.389	96.69	694	0	1	694	107153	105072	-2	9606	Homo sapiens	human	Homo sapiens BAC clone VMRC66-360L20 from chromosome unknown, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AY037929.1	9463	0.0	3335	1289	95.389	96.69	694	0	1	694	1104	3185	3	166123	Human endogenous retrovirus K115	Human endogenous retrovirus K115	Human endogenous retrovirus K115 complete genome
XP_016863109.1-Gag_p24-312-512	694	AC134684.5	175202	0.0	3335	1289	95.389	96.69	694	0	1	694	64309	62228	-2	9606	Homo sapiens	human	Homo sapiens chromosome 8, clone RP11-1118M6, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC130367.12	188884	0.0	3335	1289	95.389	96.69	694	0	1	694	11774	13855	2	9606	Homo sapiens	human	Homo sapiens chromosome 8, clone RP11-1322A13, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC270295.1	218399	0.0	3325	1285	95.245	96.54	694	0	1	694	61523	63604	2	9606	Homo sapiens	human	Homo sapiens chromosome 8 clone CH17-312D18, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC270258.1	194887	0.0	3325	1285	95.245	96.54	694	0	1	694	156890	154809	-3	9606	Homo sapiens	human	Homo sapiens chromosome 8 clone CH17-377H11, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC246795.2	199776	0.0	3325	1285	95.245	96.54	694	0	1	694	83367	81286	-1	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-322E21 from chromosome 8, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC275518.1	134077	0.0	3321	1283	94.957	96.25	694	0	1	694	35220	33139	-2	9606	Homo sapiens	human	Homo sapiens BAC clone VMRC64-396N20 from chromosome unknown, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC270467.1	125583	0.0	3321	1283	94.957	96.25	694	0	1	694	34763	36844	2	9606	Homo sapiens	human	Homo sapiens BAC clone VMRC64-352P20 from chromosome unknown, complete sequence
XP_016863109.1-Gag_p24-312-512	694	JN675044.1	8502	0.0	3294	1273	95.540	96.83	695	2	1	694	1111	3192	1	9606	Homo sapiens	human	Homo sapiens isolate HML-2_7p22.1b endogenous virus HERV-K, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC072054.10	154037	0.0	3294	1273	95.540	96.83	695	2	1	694	46306	44225	-2	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-33P21 from 7, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC072054.10	154037	0.0	3237	1251	94.524	96.11	694	2	1	693	37803	35725	-3	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-33P21 from 7, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC072054.10	154037	5.76e-10	186	76.3	94.595	94.59	37	0	658	694	35831	35721	-1	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-33P21 from 7, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AF490464.1	8708	0.0	3291	1272	95.396	96.83	695	2	1	694	1350	3431	3	9606	Homo sapiens	human	Homo sapiens HERV-K' long terminal repeat, complete sequence; and envelope glycoprotein gene, partial cds
XP_016863109.1-Gag_p24-312-512	694	NG_026993.2	31310	0.0	3286	1270	95.652	97.10	690	2	1	689	12046	14112	1	9606	Homo sapiens	human	Homo sapiens gon-4 like pseudogene (LOC100419798) on chromosome 1
XP_016863109.1-Gag_p24-312-512	694	NG_026993.2	31310	9.15e-09	175	72.0	89.189	94.59	37	0	658	694	14018	14128	2	9606	Homo sapiens	human	Homo sapiens gon-4 like pseudogene (LOC100419798) on chromosome 1
XP_016863109.1-Gag_p24-312-512	694	JN675014.1	9180	0.0	3286	1270	95.652	97.10	690	2	1	689	1111	3177	1	9606	Homo sapiens	human	Homo sapiens isolate HML-2_1q22 endogenous virus HERV-K, complete sequence
XP_016863109.1-Gag_p24-312-512	694	JN675014.1	9180	8.52e-09	175	72.0	89.189	94.59	37	0	658	694	3083	3193	2	9606	Homo sapiens	human	Homo sapiens isolate HML-2_1q22 endogenous virus HERV-K, complete sequence
XP_016863109.1-Gag_p24-312-512	694	DQ112146.1	9180	0.0	3286	1270	95.652	97.10	690	2	1	689	1112	3178	2	9606	Homo sapiens	human	Homo sapiens endogenous virus Human endogenous retrovirus K HERV-K50A, complete sequence
XP_016863109.1-Gag_p24-312-512	694	DQ112146.1	9180	8.52e-09	175	72.0	89.189	94.59	37	0	658	694	3084	3194	3	9606	Homo sapiens	human	Homo sapiens endogenous virus Human endogenous retrovirus K HERV-K50A, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AL353807.18	179064	0.0	3286	1270	95.652	97.10	690	2	1	689	165208	163142	-3	9606	Homo sapiens	human	Human DNA sequence from clone RP11-29H23 on chromosome 1, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AL353807.18	179064	9.37e-09	175	72.0	89.189	94.59	37	0	658	694	163236	163126	-1	9606	Homo sapiens	human	Human DNA sequence from clone RP11-29H23 on chromosome 1, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AF261945.1	6206	0.0	3281	1268	95.396	96.69	695	2	1	694	1159	3240	1	9606	Homo sapiens	human	Homo sapiens human endogenous retrovirus K108, partial sequence
XP_016863109.1-Gag_p24-312-512	694	Y17834.1	8300	0.0	3270	1264	95.101	96.54	694	2	1	693	32	2110	2	45617	Human endogenous retrovirus K	Human endogenous retrovirus K	Human endogenous retrovirus K (HERV-K) elements, clone SD-C7-34LTR
XP_016863109.1-Gag_p24-312-512	694	Y17834.1	8300	5.15e-10	186	76.3	94.595	94.59	37	0	658	694	2004	2114	3	45617	Human endogenous retrovirus K	Human endogenous retrovirus K	Human endogenous retrovirus K (HERV-K) elements, clone SD-C7-34LTR
XP_016863109.1-Gag_p24-312-512	694	AC245626.1	43954	0.0	3266	1262	95.101	96.54	694	2	1	693	27045	29123	3	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC14-1134222E13 from chromosome unknown, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC245626.1	43954	5.67e-10	186	76.3	94.595	94.59	37	0	658	694	29017	29127	1	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC14-1134222E13 from chromosome unknown, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AF074086.2	19221	0.0	3266	1262	95.101	96.54	694	2	1	693	1112	3190	2	9606	Homo sapiens	human	Homo sapiens tandemly repeated human endogenous retrovirus HERV-K (HML-2.HOM), complete sequence
XP_016863109.1-Gag_p24-312-512	694	AF074086.2	19221	0.0	3266	1262	95.101	96.54	694	2	1	693	9616	11694	1	9606	Homo sapiens	human	Homo sapiens tandemly repeated human endogenous retrovirus HERV-K (HML-2.HOM), complete sequence
XP_016863109.1-Gag_p24-312-512	694	AF074086.2	19221	5.52e-10	186	76.3	94.595	94.59	37	0	658	694	3084	3194	3	9606	Homo sapiens	human	Homo sapiens tandemly repeated human endogenous retrovirus HERV-K (HML-2.HOM), complete sequence
XP_016863109.1-Gag_p24-312-512	694	AF074086.2	19221	5.52e-10	186	76.3	94.595	94.59	37	0	658	694	11588	11698	2	9606	Homo sapiens	human	Homo sapiens tandemly repeated human endogenous retrovirus HERV-K (HML-2.HOM), complete sequence
XP_016863109.1-Gag_p24-312-512	694	AF164614.1	9472	0.0	3266	1262	95.101	96.54	694	2	1	693	1112	3190	2	9606	Homo sapiens	human	Homo sapiens endogenous retrovirus HERV-K108, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AF164614.1	9472	5.23e-10	186	76.3	94.595	94.59	37	0	658	694	3084	3194	3	9606	Homo sapiens	human	Homo sapiens endogenous retrovirus HERV-K108, complete sequence
XP_016863109.1-Gag_p24-312-512	694	KU054266.1	9104	0.0	3261	1260	94.676	96.26	695	3	1	693	1112	3193	2	9606	Homo sapiens	human	Homo sapiens isolate HML2_19p12e retrotransposon HERV-K HML-2, partial sequence
XP_016863109.1-Gag_p24-312-512	694	KU054266.1	9104	9.71e-11	192	78.6	97.297	97.30	37	0	658	694	3087	3197	3	9606	Homo sapiens	human	Homo sapiens isolate HML2_19p12e retrotransposon HERV-K HML-2, partial sequence
XP_016863109.1-Gag_p24-312-512	694	AC226770.1	41840	0.0	3259	1259	94.380	95.97	694	2	1	693	12146	10068	-1	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC9-43816200N12 from chromosome unknown, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC226770.1	41840	1.76e-48	287	115	47.059	75.49	102	1	391	492	26648	26346	-1	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC9-43816200N12 from chromosome unknown, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC226770.1	41840	1.76e-48	247	99.8	45.600	60.80	125	3	502	623	26332	25979	-2	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC9-43816200N12 from chromosome unknown, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC226770.1	41840	1.76e-48	70	31.6	41.176	55.88	34	0	658	691	25935	25834	-3	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC9-43816200N12 from chromosome unknown, complete sequence
XP_016863109.1-Gag_p24-312-512	694	AC226770.1	41840	9.04e-17	243	98.2	32.258	52.26	155	2	255	403	27031	26591	-2	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC9-43816200N12 from chromosome unknown, complete sequence
