Seq	Region_start_refCoord	Region_end_refCoord	Region_start_alnCoord	Region_end_alnCoord	Indel_size	Region_type
LOC101091323_Felis_catus_XM_006941089	1302	1302	1579	1770	128	Frameshift insertion
LOC101091323_Felis_catus_XM_006941089	1319	1321	1816	1818	NA	Ignoring stop codon near end
PNMA8A_Ovis_aries_XM_015100609	304	306	307	309	NA	Stop codon
PNMA8A_Ovis_aries_XM_015100609	1302	1302	1579	1770	101	Frameshift insertion
LOC100762167_Cricetulus_griseus_XM_035449107	1302	1302	1615	1770	80	Frameshift insertion
LOC100762167_Cricetulus_griseus_XM_035449107	1319	1321	1810	1812	NA	Ignoring stop codon near end
LOC108587752_Callithrix_jacchus_XM_017969214	1319	1321	1813	1815	NA	Ignoring stop codon near end
PNMA8A_Bos_taurus_NM_001102512	1302	1302	1579	1770	101	Frameshift insertion
PNMA8A_Sus_scrofa_XM_005664614	319	321	322	324	NA	Stop codon
PNMA8A_Sus_scrofa_XM_005664614	1319	1321	1813	1815	NA	Ignoring stop codon near end
PNMA8A_Loxodonta_africana_XM_023543184	1302	1302	1579	1770	185	Frameshift insertion
PNMA8A_Loxodonta_africana_XM_023543184	1319	1321	1873	1875	NA	Ignoring stop codon near end
LOC102151906_Canis_lupus_familiaris_XM_022405152	1302	1302	1579	1770	161	Frameshift insertion
LOC102151906_Canis_lupus_familiaris_XM_022405152	1319	1321	1816	1818	NA	Ignoring stop codon near end
PNMA8A_Equus_caballus_XM_023651264	1302	1302	1579	1770	134	Frameshift insertion
PNMA8A_Equus_caballus_XM_023651264	1319	1321	1816	1818	NA	Ignoring stop codon near end
