qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERVR_2-Gag_p30-317-524	618	X05470.1	8018	0.0	1569	608	100.000	100.00	326	0	293	618	1196	2173	2	11764	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7 DNA
HERVR_2-Gag_p30-317-524	618	X05470.1	8018	2.21e-115	1003	390	100.000	100.00	222	0	1	222	320	985	2	11764	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7 DNA
HERVR_2-Gag_p30-317-524	618	D10032.1	8507	0.0	1569	608	100.000	100.00	326	0	293	618	1618	2595	1	11764	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7 proviral DNA, complete genome
HERVR_2-Gag_p30-317-524	618	D10032.1	8507	2.24e-115	1003	390	100.000	100.00	222	0	1	222	742	1407	1	11764	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7 proviral DNA, complete genome
HERVR_2-Gag_p30-317-524	618	AB979448.1	8507	0.0	1558	604	99.387	99.39	326	0	293	618	1618	2595	1	11764	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7 DNA, complete genome
HERVR_2-Gag_p30-317-524	618	AB979448.1	8507	1.31e-114	997	388	99.550	99.55	222	0	1	222	742	1407	1	11764	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7 DNA, complete genome
HERVR_2-Gag_p30-317-524	618	J02034.1	3023	0.0	1476	573	92.727	93.64	330	2	293	618	1593	2579	3	11764	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7 proviral LTR, gag and pol gene, clone lambda-bev-11
HERVR_2-Gag_p30-317-524	618	J02034.1	3023	3.29e-84	663	259	89.730	90.27	185	2	39	222	855	1403	3	11764	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7 proviral LTR, gag and pol gene, clone lambda-bev-11
HERVR_2-Gag_p30-317-524	618	J02034.1	3023	3.29e-84	209	85.1	100.000	100.00	41	0	1	41	740	862	2	11764	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7	Baboon endogenous virus strain M7 proviral LTR, gag and pol gene, clone lambda-bev-11
HERVR_2-Gag_p30-317-524	618	XM_023248974.1	4132	0.0	1457	565	92.547	95.96	322	0	297	618	148	1113	1	9685	Felis catus	domestic cat	PREDICTED: Felis catus uncharacterized LOC111556295 (LOC111556295), partial mRNA
