qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERVE_3-Gag_p30-5-108	120	M10976.1	8806	2.61e-74	639	250	100.000	100.00	120	0	1	120	2014	2373	1	9606	Homo sapiens	human	Human endogenous retroviral DNA (4-1), complete retroviral segment
HERVE_3-Gag_p30-5-108	120	AC010329.3	187607	9.31e-72	620	243	99.153	100.00	118	0	1	118	102941	102588	-1	9606	Homo sapiens	human	Homo sapiens chromosome 19 clone CTD-2626G11, complete sequence
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	9.31e-72	620	243	99.153	100.00	118	0	1	118	20876424	20876071	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	4.95e-53	481	189	80.909	90.00	110	0	10	119	9779590	9779261	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	4.67e-45	422	167	83.333	91.67	96	0	3	98	20296452	20296739	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	9.76e-45	419	166	75.472	84.91	106	0	3	108	20639421	20639104	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	1.32e-34	344	137	82.667	93.33	75	0	26	100	29039475	29039699	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	1.41e-34	344	137	52.174	76.52	115	0	4	118	16052327	16051983	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	1.44e-33	336	134	55.172	75.00	116	0	4	119	23945046	23944699	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	6.63e-33	331	132	58.333	75.93	108	0	3	110	21327575	21327252	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	1.16e-31	322	128	53.509	71.05	114	0	7	120	37989470	37989129	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	1.04e-29	308	123	46.552	72.41	116	1	4	119	21561345	21561001	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	5.88e-29	302	120	50.000	71.05	114	0	7	120	20416055	20416396	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	2.00e-28	298	119	51.786	69.64	112	1	7	118	34988654	34988322	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	7.17e-27	287	115	49.123	65.79	114	0	7	120	21817611	21817270	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	1.12e-22	244	98.6	60.563	78.87	71	0	40	110	21378112	21378324	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	1.12e-22	83	36.6	46.875	78.12	32	0	3	34	21378012	21378107	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	3.83e-22	209	85.1	48.780	67.07	82	0	7	88	23306373	23306128	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	3.83e-22	113	48.1	61.538	74.36	39	0	82	120	23306147	23306031	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	6.28e-21	243	98.2	50.000	77.38	84	0	4	87	50398126	50398377	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	6.60e-21	242	97.8	51.190	77.38	84	0	4	87	20736326	20736577	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	4.37e-18	209	85.1	47.674	67.44	86	0	7	92	36758623	36758366	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	4.37e-18	78	34.7	59.259	81.48	27	0	92	118	36758367	36758287	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	2.89e-17	215	87.4	43.689	62.14	103	0	14	116	47838128	47838436	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	1.87e-16	209	85.1	45.455	61.62	99	0	14	112	33128433	33128137	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	7.04e-15	198	80.9	45.882	70.59	85	0	4	88	21727736	21727990	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	1.51e-13	188	77.0	40.777	57.28	103	0	14	116	53453485	53453793	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	2.04e-13	187	76.6	41.558	72.73	77	0	11	87	22650037	22650267	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	3.10e-13	186	76.3	37.143	60.00	105	0	14	118	20145342	20145028	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	4.07e-13	185	75.9	41.414	57.58	99	0	14	112	22871049	22871345	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERVE_3-Gag_p30-5-108	120	CP034497.1	64242768	2.78e-12	179	73.6	44.444	58.59	99	0	14	112	23007158	23007454	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
