qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
NP_001338222.1-PNMA-1-48	369	NM_001351293.2	2555	0.0	1491	578	100.000	100.00	369	0	1	369	179	1285	2	9606	Homo sapiens	human	Homo sapiens PNMA family member 6E (PNMA6E), transcript variant 1, mRNA
NP_001338222.1-PNMA-1-48	369	XM_024452426.1	3279	0.0	1491	578	100.000	100.00	369	0	1	369	903	2009	3	9606	Homo sapiens	human	PREDICTED: Homo sapiens PNMA family member 6E (PNMA6E), transcript variant X1, mRNA
NP_001338222.1-PNMA-1-48	369	NM_001351294.2	2475	0.0	1489	578	100.000	100.00	369	0	1	369	99	1205	3	9606	Homo sapiens	human	Homo sapiens PNMA family member 6E (PNMA6E), transcript variant 2, mRNA
NP_001338222.1-PNMA-1-48	369	XM_024927376.2	1827	0.0	1455	565	98.103	98.37	369	0	1	369	514	1620	1	9597	Pan paniscus	pygmy chimpanzee	PREDICTED: Pan paniscus PNMA family member 6E (PNMA6E), transcript variant X2, mRNA
NP_001338222.1-PNMA-1-48	369	XM_031006110.1	1226	0.0	1453	564	97.290	98.10	369	0	1	369	117	1223	3	9595	Gorilla gorilla gorilla	western lowland gorilla	PREDICTED: Gorilla gorilla gorilla paraneoplastic antigen Ma6E-like (LOC115932383), mRNA
NP_001338222.1-PNMA-1-48	369	XM_024241158.1	1316	0.0	1386	538	94.580	97.29	369	0	1	369	207	1313	3	9601	Pongo abelii	Sumatran orangutan	PREDICTED: Pongo abelii paraneoplastic antigen Ma6E (LOC112131058), mRNA
NP_001338222.1-PNMA-1-48	369	XM_025373574.1	1314	0.0	1340	520	90.244	93.77	369	0	1	369	205	1311	1	9565	Theropithecus gelada	gelada	PREDICTED: Theropithecus gelada PNMA family member 6E (PNMA6E), mRNA
NP_001338222.1-PNMA-1-48	369	XM_030807258.1	1110	0.0	1338	520	92.141	95.12	369	0	1	369	1	1107	1	61853	Nomascus leucogenys	northern white-cheeked gibbon	PREDICTED: Nomascus leucogenys PNMA family member 6E (PNMA6E), transcript variant X3, mRNA
NP_001338222.1-PNMA-1-48	369	XM_032148113.1	1110	6.62e-178	1309	508	91.328	94.31	369	0	1	369	1	1107	1	81572	Hylobates moloch	silvery gibbon	PREDICTED: Hylobates moloch paraneoplastic antigen Ma6E-like (LOC116464870), mRNA
NP_001338222.1-PNMA-1-48	369	XM_030934358.1	1098	1.42e-170	1260	489	87.263	91.06	369	1	1	369	1	1095	1	61622	Rhinopithecus roxellana	golden snub-nosed monkey	PREDICTED: Rhinopithecus roxellana PNMA family member 6E (PNMA6E), transcript variant X2, mRNA
NP_001338222.1-PNMA-1-48	369	NM_001367770.1	3389	1.47e-163	1280	497	99.083	99.08	327	0	43	369	1139	2119	2	9606	Homo sapiens	human	Homo sapiens PNMA family member 6E (PNMA6E), transcript variant 3, mRNA
NP_001338222.1-PNMA-1-48	369	NM_001367770.1	3389	1.04e-19	255	102	100.000	100.00	48	0	1	48	179	322	2	9606	Homo sapiens	human	Homo sapiens PNMA family member 6E (PNMA6E), transcript variant 3, mRNA
NP_001338222.1-PNMA-1-48	369	XM_021668856.1	1140	6.06e-161	1198	466	71.504	80.47	379	1	1	369	1	1137	1	37293	Aotus nancymaae	Ma's night monkey	PREDICTED: Aotus nancymaae paraneoplastic antigen Ma3 homolog (LOC110567869), mRNA
NP_001338222.1-PNMA-1-48	369	XM_021932811.2	2356	1.27e-158	1220	474	77.568	81.08	370	4	1	369	1	1077	1	9555	Papio anubis	olive baboon	PREDICTED: Papio anubis PNMA family member 6E (PNMA6E), mRNA
NP_001338222.1-PNMA-1-48	369	U82695.3	167488	4.35e-156	1280	497	99.083	99.08	327	0	43	369	2626	1646	-1	9606	Homo sapiens	human	Homo sapiens chromosome X clone XXcos-LN0617, XXcos-162H10, I104-J0935, XXcos-M1937, XXcos-12H4, XXcos-F0731 map q28, complete sequence
NP_001338222.1-PNMA-1-48	369	U82695.3	167488	1.36e-19	255	102	100.000	100.00	48	0	1	48	3586	3443	-1	9606	Homo sapiens	human	Homo sapiens chromosome X clone XXcos-LN0617, XXcos-162H10, I104-J0935, XXcos-M1937, XXcos-12H4, XXcos-F0731 map q28, complete sequence
NP_001338222.1-PNMA-1-48	369	XM_034950548.1	2481	2.63e-155	1202	467	97.248	97.55	327	0	43	369	1294	2274	1	9597	Pan paniscus	pygmy chimpanzee	PREDICTED: Pan paniscus PNMA family member 6E (PNMA6E), transcript variant X1, mRNA
NP_001338222.1-PNMA-1-48	369	XM_034950548.1	2481	7.77e-20	256	103	100.000	100.00	48	0	1	48	514	657	1	9597	Pan paniscus	pygmy chimpanzee	PREDICTED: Pan paniscus PNMA family member 6E (PNMA6E), transcript variant X1, mRNA
