qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
Arc1_Drosophila_melanogaster_NM_137111	255	KX805221.1	797	4.00e-168	1221	474	100.000	100.00	255	0	1	255	17	781	2	32630	synthetic construct	synthetic construct	Synthetic construct clone BS09941 Arc1-PA (Arc1) gene, complete cds
Arc1_Drosophila_melanogaster_NM_137111	255	AY061464.1	2361	6.03e-162	1230	478	100.000	100.00	255	0	1	255	69	833	3	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster LD41905 full length cDNA
Arc1_Drosophila_melanogaster_NM_137111	255	NM_137111.3	2371	6.58e-162	1230	478	100.000	100.00	255	0	1	255	98	862	2	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster Activity-regulated cytoskeleton associated protein 1 (Arc1), mRNA
Arc1_Drosophila_melanogaster_NM_137111	255	XM_016184608.1	1111	3.05e-158	1167	454	94.902	97.25	255	0	1	255	95	859	2	7240	Drosophila simulans	Drosophila simulans	Drosophila simulans uncharacterized protein (Dsim\GD29263), mRNA
Arc1_Drosophila_melanogaster_NM_137111	255	XM_033297672.1	2383	1.42e-151	1161	451	95.294	97.65	255	0	1	255	96	860	3	7226	Drosophila mauritiana	Drosophila mauritiana	PREDICTED: Drosophila mauritiana activity-regulated cytoskeleton associated protein 1 (LOC117136670), mRNA
Arc1_Drosophila_melanogaster_NM_137111	255	CP023338.1	21146568	2.17e-151	1230	478	100.000	100.00	255	0	1	255	10247690	10246926	-2	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster strain rover (forR) chromosome 2R
Arc1_Drosophila_melanogaster_NM_137111	255	CP023338.1	21146568	1.49e-65	591	232	100.000	100.00	111	0	145	255	10249126	10248794	-3	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster strain rover (forR) chromosome 2R
Arc1_Drosophila_melanogaster_NM_137111	255	CP023338.1	21146568	1.65e-63	576	226	51.980	71.29	202	1	3	204	10249527	10250102	3	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster strain rover (forR) chromosome 2R
Arc1_Drosophila_melanogaster_NM_137111	255	AC008229.3	180425	2.25e-151	1230	478	100.000	100.00	255	0	1	255	128089	127325	-2	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster, chromosome 2R, region 51E-51F, BAC clone BACR16C17, complete sequence
Arc1_Drosophila_melanogaster_NM_137111	255	AC008229.3	180425	8.30e-99	839	327	96.250	98.75	160	0	96	255	129672	129193	-3	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster, chromosome 2R, region 51E-51F, BAC clone BACR16C17, complete sequence
Arc1_Drosophila_melanogaster_NM_137111	255	AC008229.3	180425	1.33e-63	576	226	51.980	71.78	202	1	3	204	129926	130501	2	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster, chromosome 2R, region 51E-51F, BAC clone BACR16C17, complete sequence
Arc1_Drosophila_melanogaster_NM_137111	255	CP023332.1	21146707	2.26e-151	1230	478	100.000	100.00	255	0	1	255	10247704	10246940	-1	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster strain sitter (fors) chromosome 2R
Arc1_Drosophila_melanogaster_NM_137111	255	CP023332.1	21146707	2.13e-94	806	315	92.500	95.00	160	0	96	255	10249287	10248808	-2	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster strain sitter (fors) chromosome 2R
Arc1_Drosophila_melanogaster_NM_137111	255	CP023332.1	21146707	1.34e-63	576	226	51.980	71.78	202	1	3	204	10249541	10250116	2	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster strain sitter (fors) chromosome 2R
Arc1_Drosophila_melanogaster_NM_137111	255	AE013599.5	25286936	2.26e-151	1230	478	100.000	100.00	255	0	1	255	14360200	14359436	-2	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster chromosome 2R
Arc1_Drosophila_melanogaster_NM_137111	255	AE013599.5	25286936	8.32e-99	839	327	96.250	98.75	160	0	96	255	14361783	14361304	-3	7227	Drosophila melanogaster	fruit fly	Drosophila melanogaster chromosome 2R
