qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERVI_4-Gag_p30-5-87	87	M92067.1	9221	1.14e-48	444	175	100.000	100.00	87	0	1	87	2285	2545	2	9606	Homo sapiens	human	Human retrovirus-like sequence-isoleucine a (RTVL-Ia) gene, Alu repeat
HERVI_4-Gag_p30-5-87	87	NG_030311.1	21021	1.14e-48	444	175	100.000	100.00	87	0	1	87	8268	8528	3	9606	Homo sapiens	human	Homo sapiens haptoglobin-related protein (HPR), RefSeqGene on chromosome 16
HERVI_4-Gag_p30-5-87	87	M69197.1	38542	1.14e-48	444	175	100.000	100.00	87	0	1	87	12889	13149	1	9606	Homo sapiens	human	Homo sapiens haptoglobin (HP) and haptoglobin-like protein (HPR) genes, complete cds
HERVI_4-Gag_p30-5-87	87	AC009087.4	174933	1.14e-48	444	175	100.000	100.00	87	0	1	87	50885	50625	-2	9606	Homo sapiens	human	Homo sapiens chromosome 16 clone RP11-384M15, complete sequence
HERVI_4-Gag_p30-5-87	87	AC004682.1	189134	1.14e-48	444	175	100.000	100.00	87	0	1	87	180258	179998	-3	9606	Homo sapiens	human	Homo sapiens Chromosome 16 BAC clone CIT987SK-A-259H10, complete sequence
HERVI_4-Gag_p30-5-87	87	AC277990.1	258409	1.14e-48	444	175	100.000	100.00	87	0	1	87	196677	196937	3	9606	Homo sapiens	human	Homo sapiens chromosome 16 clone CH17-102M21, complete sequence
HERVI_4-Gag_p30-5-87	87	AP023476.1	94690957	1.14e-48	444	175	100.000	100.00	87	0	1	87	76610039	76610299	2	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 16, nearly complete genome
HERVI_4-Gag_p30-5-87	87	AP023476.1	94690957	9.26e-29	296	118	60.920	86.21	87	0	1	87	30653673	30653933	3	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 16, nearly complete genome
HERVI_4-Gag_p30-5-87	87	AP023476.1	94690957	1.47e-18	221	89.7	73.684	84.21	57	0	16	72	10567334	10567504	2	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 16, nearly complete genome
HERVI_4-Gag_p30-5-87	87	AP023476.1	94690957	2.99e-07	137	57.4	37.662	61.04	77	0	10	86	9753235	9753005	-1	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 16, nearly complete genome
HERVI_4-Gag_p30-5-87	87	AP023476.1	94690957	0.001	111	47.4	37.705	59.02	61	0	27	87	10364111	10364293	2	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 16, nearly complete genome
HERVI_4-Gag_p30-5-87	87	AP023476.1	94690957	2.9	86	37.7	33.333	59.26	54	0	25	78	69629417	69629256	-3	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 16, nearly complete genome
HERVI_4-Gag_p30-5-87	87	AP023476.1	94690957	2.9	86	37.7	31.481	61.11	54	0	25	78	64473822	64473983	3	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 16, nearly complete genome
HERVI_4-Gag_p30-5-87	87	AP023476.1	94690957	9.6	82	36.2	32.692	59.62	52	0	27	78	75028178	75028023	-3	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 16, nearly complete genome
HERVI_4-Gag_p30-5-87	87	AP023476.1	94690957	9.8	82	36.2	32.692	59.62	52	0	27	78	75023853	75023698	-2	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 16, nearly complete genome
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	1.14e-48	444	175	100.000	100.00	87	0	1	87	72040392	72040652	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	9.26e-29	296	118	60.920	86.21	87	0	1	87	30050054	30050314	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	1.83e-18	220	89.4	73.684	84.21	57	0	16	72	10521599	10521769	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	2.99e-07	137	57.4	37.662	61.04	77	0	10	86	9708882	9708652	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	9.94e-06	126	53.1	33.333	52.38	84	0	3	86	34448327	34448076	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	4.79e-05	121	51.2	33.766	58.44	77	0	10	86	34918203	34917973	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	0.001	111	47.4	37.705	59.02	61	0	27	87	10318887	10319069	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	0.17	95	41.2	30.769	48.72	78	0	10	87	35083152	35082919	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	2.9	86	37.7	33.333	59.26	54	0	25	78	65207574	65207413	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	2.9	86	37.7	31.481	61.11	54	0	25	78	60054632	60054793	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	9.5	82	36.2	32.692	59.62	52	0	27	78	70594200	70594045	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	CP034494.1	98200793	9.6	82	36.2	32.692	59.62	52	0	27	78	70598518	70598363	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 16
HERVI_4-Gag_p30-5-87	87	AC275691.1	203133	7.08e-48	438	173	98.851	98.85	87	0	1	87	39386	39646	2	9593	Gorilla gorilla	western gorilla	Gorilla gorilla chromosome 16 clone CH277-421D15, complete sequence
HERVI_4-Gag_p30-5-87	87	AC275691.1	203133	7.12e-29	297	119	63.953	81.40	86	0	1	86	53194	53451	1	9593	Gorilla gorilla	western gorilla	Gorilla gorilla chromosome 16 clone CH277-421D15, complete sequence
HERVI_4-Gag_p30-5-87	87	AC275798.1	166532	1.11e-46	429	169	97.701	97.70	87	0	1	87	72985	72725	-2	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome 16 clone CH251-334K6, complete sequence
HERVI_4-Gag_p30-5-87	87	AC275798.1	166532	7.12e-30	305	122	64.368	81.61	87	0	1	87	59178	58918	-3	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome 16 clone CH251-334K6, complete sequence
HERVI_4-Gag_p30-5-87	87	AC197751.3	179705	2.31e-39	375	149	86.207	93.10	87	0	1	87	19790	19530	-1	9544	Macaca mulatta	Rhesus monkey	MACACA MULATTA BAC clone CH250-108L20 from chromosome 20, complete sequence
HERVI_4-Gag_p30-5-87	87	AC193655.2	190007	1.74e-38	368	146	79.070	90.70	86	0	1	86	173146	172889	-2	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome X clone PTB-109P12 map human ortholog p11.3, complete sequence
HERVI_4-Gag_p30-5-87	87	AC188380.2	179322	6.77e-38	364	144	79.070	89.53	86	0	1	86	15376	15119	-3	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome X clone RP43-20J4 map human ortholog p11.3, complete sequence
HERVI_4-Gag_p30-5-87	87	AC195276.3	189038	6.77e-38	364	144	79.070	89.53	86	0	1	86	79139	79396	2	9598	Pan troglodytes	chimpanzee	Pan troglodytes BAC clone CH251-252L13 from chromosome x, complete sequence
HERVI_4-Gag_p30-5-87	87	AC008265.15	170537	1.20e-37	362	144	79.310	90.80	87	0	1	87	38234	37974	-1	9606	Homo sapiens	human	Homo sapiens chromosome 7 clone RP11-256C24, complete sequence
HERVI_4-Gag_p30-5-87	87	AC025593.6	184453	1.20e-37	362	144	79.310	90.80	87	0	1	87	28758	29018	3	9606	Homo sapiens	human	Homo sapiens chromosome 7 clone RP11-18L16, complete sequence
