qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
NP_056008.1-Arc_C-278-360	396	NM_015193.5	2950	0.0	2111	817	100.000	100.00	396	0	1	396	209	1396	2	9606	Homo sapiens	human	Homo sapiens activity regulated cytoskeleton associated protein (ARC), mRNA
NP_056008.1-Arc_C-278-360	396	BC075802.1	3010	0.0	2107	816	100.000	100.00	396	0	1	396	194	1381	2	9606	Homo sapiens	human	Homo sapiens activity-regulated cytoskeleton-associated protein, mRNA (cDNA clone MGC:87750 IMAGE:5198843), complete cds
NP_056008.1-Arc_C-278-360	396	AF248637.1	3412	0.0	2107	816	100.000	100.00	396	0	1	396	190	1377	1	9606	Homo sapiens	human	Homo sapiens activity-regulated cytoskeleton-associated protein (ARC) gene, complete cds
NP_056008.1-Arc_C-278-360	396	AF193421.1	2931	0.0	2107	816	100.000	100.00	396	0	1	396	190	1377	1	9606	Homo sapiens	human	Homo sapiens ARC mRNA, complete cds
NP_056008.1-Arc_C-278-360	396	AB383834.1	1229	0.0	2106	815	100.000	100.00	396	0	1	396	28	1215	1	32630	synthetic construct	synthetic construct	Synthetic construct DNA, clone: pF1KSDA0278, Homo sapiens ARC gene for activity-regulated cytoskeleton-associated protein, complete cds, without stop codon, in Flexi system
NP_056008.1-Arc_C-278-360	396	DQ893666.2	1231	0.0	2106	815	100.000	100.00	396	0	1	396	23	1210	2	32630	synthetic construct	synthetic construct	Synthetic construct clone IMAGE:100006296; FLH187575.01X; RZPDo839A11150D activity-regulated cytoskeleton-associated protein (ARC) gene, encodes complete protein
NP_056008.1-Arc_C-278-360	396	BC012321.1	2989	0.0	2106	815	100.000	100.00	396	0	1	396	206	1393	2	9606	Homo sapiens	human	Homo sapiens activity-regulated cytoskeleton-associated protein, mRNA (cDNA clone MGC:20010 IMAGE:4555433), complete cds
NP_056008.1-Arc_C-278-360	396	D87468.1	2935	0.0	2106	815	100.000	100.00	396	0	1	396	194	1381	2	9606	Homo sapiens	human	Homo sapiens mRNA for KIAA0278 gene
NP_056008.1-Arc_C-278-360	396	KJ898466.1	1320	0.0	2105	815	100.000	100.00	396	0	1	396	66	1253	3	32630	synthetic construct	synthetic construct	Synthetic construct Homo sapiens clone ccsbBroadEn_07860 ARC gene, encodes complete protein
NP_056008.1-Arc_C-278-360	396	DQ895780.2	1231	0.0	2105	815	100.000	100.00	396	0	1	396	23	1210	2	32630	synthetic construct	synthetic construct	Synthetic construct Homo sapiens clone IMAGE:100010240; FLH187571.01L; RZPDo839A11149D activity-regulated cytoskeleton-associated protein (ARC) gene, encodes complete protein
