qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERVS71_4-Gag_p30-38-244	366	BS000558.1	156402	6.38e-166	1352	525	83.651	86.92	367	1	1	366	124082	125182	2	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome Y clone:PTB-471H19, complete sequences
HERVS71_4-Gag_p30-38-244	366	AC145769.1	165958	6.38e-166	1352	525	83.651	86.92	367	1	1	366	29146	28046	-1	9598	Pan troglodytes	chimpanzee	Pan troglodytes BAC clone CH251-203H3 from Y, complete sequence
HERVS71_4-Gag_p30-38-244	366	BS000607.1	178480	6.39e-166	1352	525	83.651	86.92	367	1	1	366	41951	43051	2	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome Y clone:PTB-081L16, complete sequences
HERVS71_4-Gag_p30-38-244	366	BS000607.1	178480	8.38e-10	178	73.2	30.000	43.50	200	5	33	220	97357	96770	-1	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome Y clone:PTB-081L16, complete sequences
HERVS71_4-Gag_p30-38-244	366	AC146175.1	228185	6.39e-166	1352	525	83.651	86.92	367	1	1	366	91373	90273	-1	9598	Pan troglodytes	chimpanzee	Pan troglodytes BAC clone CH251-559G23 from Y, complete sequence
HERVS71_4-Gag_p30-38-244	366	AC146175.1	228185	8.38e-10	178	73.2	30.000	43.50	200	5	33	220	35972	36559	2	9598	Pan troglodytes	chimpanzee	Pan troglodytes BAC clone CH251-559G23 from Y, complete sequence
HERVS71_4-Gag_p30-38-244	366	AC279144.1	201484	8.44e-155	1270	493	83.186	87.32	339	0	2	340	178209	177193	-2	9601	Pongo abelii	Sumatran orangutan	Pongo abelii chromosome 22 clone CH276-312I20, complete sequence
HERVS71_4-Gag_p30-38-244	366	AC279144.1	201484	2.07e-20	261	105	91.071	91.07	56	0	311	366	177281	177114	-3	9601	Pongo abelii	Sumatran orangutan	Pongo abelii chromosome 22 clone CH276-312I20, complete sequence
HERVS71_4-Gag_p30-38-244	366	AC279126.1	228115	8.45e-155	1270	493	83.186	87.32	339	0	2	340	4554	3538	-2	9601	Pongo abelii	Sumatran orangutan	Pongo abelii chromosome 22 clone CH276-395H15, complete sequence
HERVS71_4-Gag_p30-38-244	366	AC279126.1	228115	2.08e-20	261	105	91.071	91.07	56	0	311	366	3626	3459	-3	9601	Pongo abelii	Sumatran orangutan	Pongo abelii chromosome 22 clone CH276-395H15, complete sequence
