qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERVFH19I_9-Gag_p30-246-451	965	AC277864.1	223117	0.0	1839	712	72.711	78.39	546	7	224	760	74524	72929	-1	9606	Homo sapiens	human	Homo sapiens chromosome 1 clone CH17-31M22, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC277864.1	223117	1.98e-65	648	254	56.535	62.01	329	7	651	962	73257	72325	-2	9606	Homo sapiens	human	Homo sapiens chromosome 1 clone CH17-31M22, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC277864.1	223117	5.78e-32	374	148	79.348	83.70	92	0	56	147	75432	75157	-2	9606	Homo sapiens	human	Homo sapiens chromosome 1 clone CH17-31M22, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC277864.1	223117	1.70e-09	184	75.5	81.429	90.00	70	0	870	939	72601	72392	-1	9606	Homo sapiens	human	Homo sapiens chromosome 1 clone CH17-31M22, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	NG_050918.1	63467	0.0	1839	712	72.711	78.39	546	7	224	760	9582	7987	-3	9606	Homo sapiens	human	Homo sapiens solute carrier family 2 member 5 (SLC2A5), RefSeqGene on chromosome 1
HERVFH19I_9-Gag_p30-246-451	965	NG_050918.1	63467	1.93e-65	648	254	56.535	62.01	329	7	651	962	8315	7383	-1	9606	Homo sapiens	human	Homo sapiens solute carrier family 2 member 5 (SLC2A5), RefSeqGene on chromosome 1
HERVFH19I_9-Gag_p30-246-451	965	NG_050918.1	63467	5.56e-32	374	148	79.348	83.70	92	0	56	147	10490	10215	-1	9606	Homo sapiens	human	Homo sapiens solute carrier family 2 member 5 (SLC2A5), RefSeqGene on chromosome 1
HERVFH19I_9-Gag_p30-246-451	965	NG_050918.1	63467	1.69e-09	184	75.5	81.429	90.00	70	0	870	939	7659	7450	-3	9606	Homo sapiens	human	Homo sapiens solute carrier family 2 member 5 (SLC2A5), RefSeqGene on chromosome 1
HERVFH19I_9-Gag_p30-246-451	965	AL158048.35	139111	0.0	1839	712	72.711	78.39	546	7	224	760	44295	42700	-2	9606	Homo sapiens	human	Human DNA sequence from clone RP5-963K15 on chromosome 1p36.21-36.33, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AL158048.35	139111	1.97e-65	648	254	56.535	62.01	329	7	651	962	43028	42096	-3	9606	Homo sapiens	human	Human DNA sequence from clone RP5-963K15 on chromosome 1p36.21-36.33, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AL158048.35	139111	5.66e-32	374	148	79.348	83.70	92	0	56	147	45203	44928	-3	9606	Homo sapiens	human	Human DNA sequence from clone RP5-963K15 on chromosome 1p36.21-36.33, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AL158048.35	139111	1.70e-09	184	75.5	81.429	90.00	70	0	870	939	42372	42163	-2	9606	Homo sapiens	human	Human DNA sequence from clone RP5-963K15 on chromosome 1p36.21-36.33, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC200462.5	184051	0.0	1814	703	76.587	81.75	504	1	270	773	172789	174294	1	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-273K14 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC200462.5	184051	2.73e-69	475	187	85.714	91.27	126	0	840	965	174819	175196	3	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-273K14 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC200462.5	184051	2.73e-69	270	108	86.486	91.89	74	0	767	840	174599	174820	2	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-273K14 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC200462.5	184051	3.32e-57	582	228	79.021	83.22	143	0	1	143	172016	172444	2	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-273K14 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC200462.5	184051	1.2	108	46.2	68.571	74.29	35	1	216	248	172628	172732	2	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-273K14 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC202619.5	169149	0.0	1814	703	76.587	81.75	504	1	270	773	34051	35556	1	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-389L24 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC202619.5	169149	2.74e-69	475	187	85.714	91.27	126	0	840	965	36081	36458	3	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-389L24 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC202619.5	169149	2.74e-69	270	108	86.486	91.89	74	0	767	840	35861	36082	2	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-389L24 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC202619.5	169149	3.31e-57	582	228	79.021	83.22	143	0	1	143	33278	33706	2	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-389L24 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC202619.5	169149	1.2	108	46.2	68.571	74.29	35	1	216	248	33890	33994	2	9544	Macaca mulatta	Rhesus monkey	Rhesus Macaque BAC CH250-389L24 () complete sequence
HERVFH19I_9-Gag_p30-246-451	965	NG_030351.1	58910	0.0	1798	697	84.211	87.87	437	0	315	751	33313	32003	-2	9606	Homo sapiens	human	Homo sapiens eukaryotic translation initiation factor 2 alpha kinase 2 (EIF2AK2), RefSeqGene on chromosome 2
HERVFH19I_9-Gag_p30-246-451	965	NG_030351.1	58910	2.64e-58	477	188	83.721	89.15	129	0	819	947	31493	31107	-1	9606	Homo sapiens	human	Homo sapiens eukaryotic translation initiation factor 2 alpha kinase 2 (EIF2AK2), RefSeqGene on chromosome 2
HERVFH19I_9-Gag_p30-246-451	965	NG_030351.1	58910	2.64e-58	173	71.2	94.444	97.22	36	0	767	802	31647	31540	-3	9606	Homo sapiens	human	Homo sapiens eukaryotic translation initiation factor 2 alpha kinase 2 (EIF2AK2), RefSeqGene on chromosome 2
HERVFH19I_9-Gag_p30-246-451	965	NG_030351.1	58910	3.9	104	44.7	63.158	65.79	38	0	928	965	31165	31052	-2	9606	Homo sapiens	human	Homo sapiens eukaryotic translation initiation factor 2 alpha kinase 2 (EIF2AK2), RefSeqGene on chromosome 2
HERVFH19I_9-Gag_p30-246-451	965	AY228338.1	45279	0.0	1798	697	84.211	87.87	437	0	315	751	21411	20101	-1	9606	Homo sapiens	human	Homo sapiens protein kinase, interferon-inducible double stranded RNA dependent (PRKR) gene, complete cds
HERVFH19I_9-Gag_p30-246-451	965	AY228338.1	45279	2.65e-58	477	188	83.721	89.15	129	0	819	947	19591	19205	-3	9606	Homo sapiens	human	Homo sapiens protein kinase, interferon-inducible double stranded RNA dependent (PRKR) gene, complete cds
HERVFH19I_9-Gag_p30-246-451	965	AY228338.1	45279	2.65e-58	173	71.2	94.444	97.22	36	0	767	802	19745	19638	-2	9606	Homo sapiens	human	Homo sapiens protein kinase, interferon-inducible double stranded RNA dependent (PRKR) gene, complete cds
HERVFH19I_9-Gag_p30-246-451	965	AY228338.1	45279	3.9	104	44.7	63.158	65.79	38	0	928	965	19263	19150	-1	9606	Homo sapiens	human	Homo sapiens protein kinase, interferon-inducible double stranded RNA dependent (PRKR) gene, complete cds
HERVFH19I_9-Gag_p30-246-451	965	AC007899.3	118195	0.0	1798	697	84.211	87.87	437	0	315	751	62470	61160	-1	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-531C11 from 2, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC007899.3	118195	2.63e-58	477	188	83.721	89.15	129	0	819	947	60650	60264	-3	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-531C11 from 2, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC007899.3	118195	2.63e-58	173	71.2	94.444	97.22	36	0	767	802	60804	60697	-2	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-531C11 from 2, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC007899.3	118195	3.9	104	44.7	63.158	65.79	38	0	928	965	60322	60209	-1	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-531C11 from 2, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC025016.8	155661	0.0	1707	662	51.804	66.24	776	11	221	962	31738	34035	1	9606	Homo sapiens	human	Homo sapiens chromosome 11, clone RP11-302E22, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	AC025016.8	155661	1.89e-25	319	127	50.893	64.29	112	0	33	144	31135	31470	1	9606	Homo sapiens	human	Homo sapiens chromosome 11, clone RP11-302E22, complete sequence
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	0.0	1701	659	52.933	66.93	750	7	217	962	52108696	52106495	-3	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	9.03e-163	827	323	58.470	67.76	366	3	573	937	52089342	52088272	-1	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	9.03e-163	714	279	47.075	64.35	359	6	217	569	52090397	52089348	-2	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	9.03e-163	59	27.3	55.000	80.00	20	0	940	959	52088266	52088207	-3	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	8.19e-41	270	108	49.000	72.00	100	0	217	316	26550988	26550689	-3	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	8.19e-41	221	89.7	52.326	65.12	86	0	324	409	26550671	26550414	-2	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	8.19e-41	48	23.1	76.923	84.62	13	0	416	428	26550360	26550322	-1	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	3.61e-28	342	136	52.679	66.96	112	0	33	144	52091021	52090686	-2	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	8.61e-28	339	135	51.786	66.96	112	0	33	144	52109314	52108979	-3	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	6.22e-27	190	77.8	56.061	71.21	66	0	818	883	33954884	33955081	2	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	6.22e-27	187	76.6	31.200	46.80	250	8	585	806	33954114	33954851	3	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
HERVFH19I_9-Gag_p30-246-451	965	CP050586.1	81738426	1.28e-19	270	108	33.882	45.07	304	9	448	739	26550085	26549237	-3	9615	Canis lupus familiaris	dog	Canis lupus familiaris breed Labrador retriever chromosome 06a
