qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
XP_011525369.1-PNMA-5-363	470	XM_011527067.2	3770	0.0	2179	843	100.000	100.00	470	0	1	470	321	1730	3	9606	Homo sapiens	human	PREDICTED: Homo sapiens PNMA family member 8A (PNMA8A), transcript variant X1, mRNA
XP_011525369.1-PNMA-5-363	470	XM_024236285.1	3724	0.0	2119	820	97.021	98.94	470	0	1	470	280	1689	1	9601	Pongo abelii	Sumatran orangutan	PREDICTED: Pongo abelii PNMA family member 8A (PNMA8A), transcript variant X3, mRNA
XP_011525369.1-PNMA-5-363	470	XM_032169384.1	3798	0.0	2118	820	96.809	98.09	470	0	1	470	306	1715	3	81572	Hylobates moloch	silvery gibbon	PREDICTED: Hylobates moloch PNMA family member 8A (PNMA8A), transcript variant X1, mRNA
XP_011525369.1-PNMA-5-363	470	XM_030807813.1	3805	0.0	2109	816	96.383	97.87	470	0	1	470	306	1715	3	61853	Nomascus leucogenys	northern white-cheeked gibbon	PREDICTED: Nomascus leucogenys PNMA family member 8A (PNMA8A), transcript variant X1, mRNA
XP_011525369.1-PNMA-5-363	470	CP034497.1	64242768	0.0	2101	813	99.351	99.57	462	0	1	462	46914292	46912907	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
XP_011525369.1-PNMA-5-363	470	CP034497.1	64242768	3.45e-27	321	128	47.967	66.67	123	0	7	129	46871595	46871227	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
XP_011525369.1-PNMA-5-363	470	CP034497.1	64242768	7.37e-25	302	120	48.718	65.81	117	0	4	120	46938725	46938375	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
XP_011525369.1-PNMA-5-363	470	CP034497.1	64242768	3.36e-14	212	86.3	39.048	60.00	105	0	14	118	46976954	46977268	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
XP_011525369.1-PNMA-5-363	470	CP034497.1	64242768	3.36e-14	50	23.9	69.231	92.31	13	0	4	16	46976923	46976961	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
XP_011525369.1-PNMA-5-363	470	CP034497.1	64242768	8.99e-14	214	87.0	37.143	64.76	105	1	25	129	46856199	46855888	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
XP_011525369.1-PNMA-5-363	470	AC011484.7	112351	0.0	2101	813	99.351	99.57	462	0	1	462	53396	52011	-3	9606	Homo sapiens	human	Homo sapiens chromosome 19 clone CTB-158D10, complete sequence
XP_011525369.1-PNMA-5-363	470	AC011484.7	112351	2.82e-27	321	128	47.967	66.67	123	0	7	129	10699	10331	-1	9606	Homo sapiens	human	Homo sapiens chromosome 19 clone CTB-158D10, complete sequence
XP_011525369.1-PNMA-5-363	470	AC011484.7	112351	7.30e-25	302	120	48.718	65.81	117	0	4	120	77829	77479	-2	9606	Homo sapiens	human	Homo sapiens chromosome 19 clone CTB-158D10, complete sequence
XP_011525369.1-PNMA-5-363	470	CP034522.1	64242768	0.0	2097	812	99.134	99.35	462	0	1	462	46914292	46912907	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
XP_011525369.1-PNMA-5-363	470	CP034522.1	64242768	7.61e-27	318	127	47.154	66.67	123	0	7	129	46871595	46871227	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
XP_011525369.1-PNMA-5-363	470	CP034522.1	64242768	7.37e-25	302	120	48.718	65.81	117	0	4	120	46938725	46938375	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
XP_011525369.1-PNMA-5-363	470	CP034522.1	64242768	3.68e-14	212	86.3	39.048	60.00	105	0	14	118	46976954	46977268	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
