Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
NM_015193.5_hg38	Reference	0	0	1191
NM_015193.5_gorGor3	Intact	0	0	1191
NM_015193.5_ponAbe2	Intact	0	0	1191
NM_015193.5_nomLeu3	Pseud	1	0	1192
NM_015193.5_macFas5	Intact	0	0	1191
NM_015193.5_papAnu2	Intact	0	0	1191
NM_015193.5_chlSab2	Intact	0	0	1191
NM_015193.5_calJac3	Intact	0	0	1197
NM_015193.5_saiBol1	Intact	0	0	1197
NM_015193.5_otoGar3	Intact	0	0	1188
NM_015193.5_jacJac1	Intact	0	0	1191
NM_015193.5_micOch1	Intact	0	0	1191
NM_015193.5_criGri1	Intact	0	0	1191
NM_015193.5_mesAur1	Intact	0	0	1191
NM_015193.5_mm10	Intact	0	0	1191
NM_015193.5_rn6	Intact	0	0	1191
NM_015193.5_hetGla2	Intact	0	0	1194
NM_015193.5_cavPor3	Intact	0	0	1188
NM_015193.5_chiLan1	Intact	0	0	1191
NM_015193.5_octDeg1	Intact	0	0	1191
NM_015193.5_ochPri3	Intact	0	0	1176
NM_015193.5_vicPac2	Intact	0	0	1191
NM_015193.5_camFer1	Pseud	1	0	1331
NM_015193.5_turTru2	Intact	0	0	1191
NM_015193.5_orcOrc1	Intact	0	0	1191
NM_015193.5_bosTau8	Intact	0	0	1191
NM_015193.5_oviAri3	Pseud	1	0	1048
NM_015193.5_cerSim1	Intact	0	0	1197
NM_015193.5_felCat8	Pseud	1	0	1411
NM_015193.5_musFur1	Intact	0	0	1191
NM_015193.5_ailMel1	Pseud	1	0	1181
NM_015193.5_odoRosDiv1	Intact	0	0	1191
NM_015193.5_lepWed1	Intact	0	0	1203
NM_015193.5_pteAle1	Intact	0	0	1197
NM_015193.5_pteVam1	Intact	0	0	1197
NM_015193.5_eptFus1	Intact	0	0	1206
NM_015193.5_eriEur2	Intact	0	0	1191
NM_015193.5_sorAra2	Intact	0	0	1167
NM_015193.5_loxAfr3	Intact	0	0	1191
NM_015193.5_eleEdw1	Intact	0	0	1188
NM_015193.5_triMan1	Intact	0	0	1194
NM_015193.5_chrAsi1	Intact	0	0	1188
NM_015193.5_oryAfe1	Intact	0	0	1185
