Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
NM_001282535	Reference	NA	NA
gorGor3	Intact	0	0	1368
ponAbe2	Pseud	1	0	1369
nomLeu3	Pseud	0	1	1368
rheMac3	Pseud	0	1	1368
macFas5	Pseud	0	1	1368
papAnu2	Pseud	0	1	1368
chlSab2	Intact	0	0	1368
calJac3	Intact	0	0	1368
saiBol1	Intact	0	0	1368
otoGar3	Intact	0	0	1365
speTri2	Pseud	0	1	1368
jacJac1	Truncated	0	0	1048
micOch1	Intact	0	0	1344
mm10	Intact	0	0	1377
rn6	Intact	0	0	1374
vicPac2	Pseud	5	4	1334
camFer1	Pseud	5	2	1340
turTru2	Truncated	0	0	2
bosTau8	Pseud	4	3	1257
oviAri3	Pseud	7	2	1241
capHir1	Pseud	6	1	1166
equCab2	Pseud	1	0	1366
cerSim1	Pseud	2	1	1307
felCat8	Pseud	1	0	1366
canFam3	Pseud	1	0	1157
musFur1	Pseud	1	0	1366
ailMel1	Pseud	2	0	1335
odoRosDiv1	Pseud	2	1	1362
lepWed1	Intact	0	0	1365
pteAle1	Pseud	2	0	1353
pteVam1	Pseud	1	0	956
myoLuc2	Pseud	1	0	1360
eptFus1	Pseud	1	0	1360
sorAra2	Pseud	2	0	1221
loxAfr3	Pseud	1	0	1331
triMan1	Pseud	3	1	1195
chrAsi1	Intact	0	0	1320
oryAfe1	Pseud	1	0	1307
dasNov3	Intact	0	0	1344
