Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
NM_018215.4_hg38	Reference	0	0	1320
NM_018215.4_panTro4	Intact	0	0	1320
NM_018215.4_gorGor3	Intact	0	0	1326
NM_018215.4_ponAbe2	Pseud	7	0	1338
NM_018215.4_nomLeu3	Intact	0	0	1320
NM_018215.4_calJac3	Pseud	4	0	2089
NM_018215.4_saiBol1	Intact	0	0	1316
NM_018215.4_otoGar3	Intact	0	0	1320
NM_018215.4_speTri2	Intact	0	0	1314
NM_018215.4_mm10	Intact	0	0	1293
NM_018215.4_turTru2	Intact	0	0	1317
NM_018215.4_equCab2	Intact	0	0	1317
NM_018215.4_cerSim1	Intact	0	0	1317
NM_018215.4_felCat8	Intact	0	0	1308
NM_018215.4_ailMel1	Intact	0	0	1314
NM_018215.4_loxAfr3	Intact	0	0	1319
NM_018215.4_triMan1	Intact	0	0	1314
NM_018215.4_dasNov3	Intact	0	0	1560
