qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERVH48I_4-Gag_p30-222-426	536	AC278976.1	219286	0.0	1568	608	88.462	92.03	364	0	172	535	144345	143254	-2	9601	Pongo abelii	Sumatran orangutan	Pongo abelii chromosome 7 clone CH276-6L14, complete sequence
HERVH48I_4-Gag_p30-222-426	536	AC278976.1	219286	7.75e-04	132	55.5	55.932	62.71	59	2	1	59	144844	144695	-1	9601	Pongo abelii	Sumatran orangutan	Pongo abelii chromosome 7 clone CH276-6L14, complete sequence
HERVH48I_4-Gag_p30-222-426	536	CU041341.9	171862	0.0	1551	602	87.123	91.78	365	0	172	536	16466	17560	2	9606	Homo sapiens	human	Human DNA sequence from clone XX-HCC1937_5F12, complete sequence
HERVH48I_4-Gag_p30-222-426	536	CU041341.9	171862	5.29e-10	184	75.5	73.333	80.00	60	2	1	60	15992	16165	2	9606	Homo sapiens	human	Human DNA sequence from clone XX-HCC1937_5F12, complete sequence
HERVH48I_4-Gag_p30-222-426	536	NG_046951.1	200167	0.0	1548	600	87.123	91.51	365	0	172	536	59008	57914	-1	9606	Homo sapiens	human	Homo sapiens zinc fingers and homeoboxes 2 (ZHX2), RefSeqGene on chromosome 8
HERVH48I_4-Gag_p30-222-426	536	NG_046951.1	200167	5.29e-10	184	75.5	73.333	80.00	60	2	1	60	59482	59309	-1	9606	Homo sapiens	human	Homo sapiens zinc fingers and homeoboxes 2 (ZHX2), RefSeqGene on chromosome 8
HERVH48I_4-Gag_p30-222-426	536	AC016405.8	159153	0.0	1548	600	87.123	91.51	365	0	172	536	61007	62101	2	9606	Homo sapiens	human	Homo sapiens, clone RP11-44N11, complete sequence
HERVH48I_4-Gag_p30-222-426	536	AC016405.8	159153	5.28e-10	184	75.5	73.333	80.00	60	2	1	60	60533	60706	2	9606	Homo sapiens	human	Homo sapiens, clone RP11-44N11, complete sequence
HERVH48I_4-Gag_p30-222-426	536	XM_011730545.1	4450	3.23e-175	1399	543	81.844	86.87	358	1	179	536	3	1070	3	9545	Macaca nemestrina	pig-tailed macaque	PREDICTED: Macaca nemestrina uncharacterized LOC105475359 (LOC105475359), mRNA
HERVH48I_4-Gag_p30-222-426	536	AL359313.11	52461	8.17e-174	955	372	88.163	91.02	245	0	118	362	2946	3680	3	9606	Homo sapiens	human	Human DNA sequence from clone RP1-321C2 on chromosome 6, complete sequence
HERVH48I_4-Gag_p30-222-426	536	AL359313.11	52461	8.17e-174	692	271	85.000	89.44	180	0	357	536	3662	4201	2	9606	Homo sapiens	human	Human DNA sequence from clone RP1-321C2 on chromosome 6, complete sequence
HERVH48I_4-Gag_p30-222-426	536	AL359313.11	52461	5.72e-21	274	110	90.000	90.00	60	0	1	60	2610	2789	3	9606	Homo sapiens	human	Human DNA sequence from clone RP1-321C2 on chromosome 6, complete sequence
HERVH48I_4-Gag_p30-222-426	536	XR_002524386.2	13843	9.86e-173	1424	553	79.670	84.62	364	1	173	536	6142	5057	-1	9555	Papio anubis	olive baboon	PREDICTED: Papio anubis uncharacterized LOC108580434 (LOC108580434), ncRNA
HERVH48I_4-Gag_p30-222-426	536	XR_002524386.2	13843	5.59e-18	250	100	85.000	90.00	60	0	1	60	6626	6447	-3	9555	Papio anubis	olive baboon	PREDICTED: Papio anubis uncharacterized LOC108580434 (LOC108580434), ncRNA
