qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERV1_I_2-Gag_p30-253-459	589	AL022345.2	146328	0.0	2304	892	87.817	90.52	591	2	1	589	143103	144872	3	9606	Homo sapiens	human	Human DNA sequence from clone Y738F9 on chromosome 10, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AC256301.1	192498	0.0	1922	744	87.221	91.28	493	1	1	493	87186	85711	-1	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-287L5 from chromosome 21, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AC256301.1	192498	0.0	372	147	87.805	87.80	82	0	508	589	85669	85424	-3	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-287L5 from chromosome 21, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AC256301.1	192498	9.16e-32	323	129	89.908	91.74	109	0	99	207	89307	88981	-1	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-287L5 from chromosome 21, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AC256301.1	192498	9.16e-32	94	40.8	74.074	81.48	27	0	207	233	88984	88904	-3	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-287L5 from chromosome 21, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AC246819.2	190070	0.0	1922	744	87.221	91.28	493	1	1	493	122427	120952	-3	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-458N5 from chromosome 21, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AC246819.2	190070	0.0	372	147	87.805	87.80	82	0	508	589	120910	120665	-2	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-458N5 from chromosome 21, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AC246819.2	190070	9.16e-32	323	129	89.908	91.74	109	0	99	207	124548	124222	-3	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-458N5 from chromosome 21, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AC246819.2	190070	9.16e-32	94	40.8	74.074	81.48	27	0	207	233	124225	124145	-2	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-458N5 from chromosome 21, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AL160451.2	105570	0.0	1922	744	87.221	91.28	493	1	1	493	35245	36720	1	9606	Homo sapiens	human	Homo sapiens chromosome 21 PAC RPCIP704E349Q2, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AL160451.2	105570	0.0	372	147	87.805	87.80	82	0	508	589	36762	37007	3	9606	Homo sapiens	human	Homo sapiens chromosome 21 PAC RPCIP704E349Q2, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AL160451.2	105570	1.50e-32	330	131	90.826	91.74	109	0	99	207	33112	33438	1	9606	Homo sapiens	human	Homo sapiens chromosome 21 PAC RPCIP704E349Q2, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AL160451.2	105570	1.50e-32	94	40.8	74.074	81.48	27	0	207	233	33435	33515	3	9606	Homo sapiens	human	Homo sapiens chromosome 21 PAC RPCIP704E349Q2, complete sequence
HERV1_I_2-Gag_p30-253-459	589	AP023481.1	44550604	0.0	1916	742	86.815	91.08	493	1	1	493	11907934	11909409	1	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 21, nearly complete genome
HERV1_I_2-Gag_p30-253-459	589	AP023481.1	44550604	0.0	372	147	87.805	87.80	82	0	508	589	11909451	11909696	3	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 21, nearly complete genome
HERV1_I_2-Gag_p30-253-459	589	AP023481.1	44550604	3.18e-54	349	139	51.049	66.43	143	2	225	367	17808022	17807603	-1	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 21, nearly complete genome
HERV1_I_2-Gag_p30-253-459	589	AP023481.1	44550604	3.18e-54	263	105	59.756	76.83	82	0	382	463	17807561	17807316	-3	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 21, nearly complete genome
HERV1_I_2-Gag_p30-253-459	589	AP023481.1	44550604	6.59e-52	520	204	51.837	63.67	245	2	2	246	36067126	36066419	-1	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 21, nearly complete genome
HERV1_I_2-Gag_p30-253-459	589	AP023481.1	44550604	1.40e-32	330	131	90.826	91.74	109	0	99	207	11905811	11906137	2	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 21, nearly complete genome
HERV1_I_2-Gag_p30-253-459	589	AP023481.1	44550604	1.40e-32	94	40.8	74.074	81.48	27	0	207	233	11906134	11906214	1	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 21, nearly complete genome
HERV1_I_2-Gag_p30-253-459	589	AP023481.1	44550604	5.38e-15	227	92.0	48.913	67.39	92	1	2	93	40772021	40772287	2	9606	Homo sapiens	human	Homo sapiens DNA, chromosome 21, nearly complete genome
