qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERV9_4-Gag_p30-27-131	253	Z84475.1	91017	1.29e-156	1268	493	100.000	100.00	253	0	1	253	33048	32290	-1	9606	Homo sapiens	human	Human DNA sequence from clone RP1-162C6 on chromosome 6q21, complete sequence
HERV9_4-Gag_p30-27-131	253	AC079257.7	133401	2.19e-130	1073	417	84.646	88.19	254	1	1	253	110656	111417	1	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-367I6 from 4, complete sequence
HERV9_4-Gag_p30-27-131	253	AC098972.2	145993	7.28e-130	1069	416	82.677	88.58	254	1	1	253	140124	140885	3	9606	Homo sapiens	human	Homo sapiens chromosome 3 clone RP11-197J13, complete sequence
HERV9_4-Gag_p30-27-131	253	AC107622.2	158508	7.28e-130	1069	416	82.677	88.58	254	1	1	253	48003	48764	3	9606	Homo sapiens	human	Homo sapiens chromosome 3 clone RP11-638F19, complete sequence
HERV9_4-Gag_p30-27-131	253	AP006191.1	97273	1.25e-129	1068	416	83.858	88.58	254	1	1	253	47182	46421	-1	9606	Homo sapiens	human	Homo sapiens genomic DNA, chromosome 3, clone:RP11-216F19, complete sequence
HERV9_4-Gag_p30-27-131	253	AC019133.8	185556	2.96e-129	1065	414	83.858	87.40	254	1	1	253	67121	67882	2	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-577G20 from 4, complete sequence
HERV9_4-Gag_p30-27-131	253	AC211967.4	39767	8.34e-129	1062	413	83.465	88.98	254	1	1	253	23574	24335	3	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC9-43843900G11 from chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AC211967.4	39767	2.23e-37	380	150	38.610	54.83	259	4	1	251	34512	33760	-3	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC9-43843900G11 from chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AC235029.3	40550	8.34e-129	1062	413	83.465	88.98	254	1	1	253	32064	31303	-3	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC10-45493400M8 from chromosome unknown, complete sequence
HERV9_4-Gag_p30-27-131	253	AC235029.3	40550	2.23e-37	380	150	38.610	54.83	259	4	1	251	21126	21878	3	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC10-45493400M8 from chromosome unknown, complete sequence
HERV9_4-Gag_p30-27-131	253	AC234785.4	40960	8.34e-129	1062	413	83.465	88.98	254	1	1	253	32132	31371	-3	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC9-41270100I10 from chromosome unknown, complete sequence
HERV9_4-Gag_p30-27-131	253	AC234785.4	40960	2.23e-37	380	150	38.610	54.83	259	4	1	251	21194	21946	2	9606	Homo sapiens	human	Homo sapiens FOSMID clone ABC9-41270100I10 from chromosome unknown, complete sequence
HERV9_4-Gag_p30-27-131	253	AC243546.2	112430	8.40e-129	1062	413	83.465	88.98	254	1	1	253	26673	25912	-3	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-220A1 from chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AC243546.2	112430	2.25e-37	380	150	38.610	54.83	259	4	1	251	15736	16488	1	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-220A1 from chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AL590385.23	129505	8.41e-129	1062	413	83.465	88.98	254	1	1	253	31661	32422	2	9606	Homo sapiens	human	Human DNA sequence from clone RP11-5K23 on chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AL590385.23	129505	2.25e-37	380	150	38.610	54.83	259	4	1	251	42599	41847	-3	9606	Homo sapiens	human	Human DNA sequence from clone RP11-5K23 on chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AC243509.2	129689	8.41e-129	1062	413	83.465	88.98	254	1	1	253	26941	27702	1	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-135E1 from chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AC243509.2	129689	2.25e-37	380	150	38.610	54.83	259	4	1	251	37878	37126	-3	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-135E1 from chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AC243971.2	241302	8.42e-129	1062	413	83.465	88.98	254	1	1	253	9502	10263	1	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-437O13 from chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AC243971.2	241302	2.26e-37	380	150	38.610	54.83	259	4	1	251	20440	19688	-3	9606	Homo sapiens	human	Homo sapiens BAC clone CH17-437O13 from chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AC280494.1	151130	1.08e-128	1061	413	83.465	88.58	254	1	1	253	5941	6702	1	9544	Macaca mulatta	Rhesus monkey	Macaca mulatta fosmid CH250-145K15 from chromosome X, complete sequence
HERV9_4-Gag_p30-27-131	253	AC104069.3	155106	1.77e-128	1059	412	83.858	89.76	254	1	1	253	15782	15021	-2	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-279B11 from 2, complete sequence
HERV9_4-Gag_p30-27-131	253	AC092417.2	167263	2.32e-128	1058	412	83.465	88.19	254	1	1	253	44217	44978	3	9606	Homo sapiens	human	Homo sapiens chromosome 3 clone RP11-90M23, complete sequence
HERV9_4-Gag_p30-27-131	253	Z99297.1	100997	7.12e-128	1055	410	82.677	87.40	254	1	1	253	9738	10499	3	9606	Homo sapiens	human	Human DNA sequence from clone RP1-262D12 on chromosome 1q23.3-24.3, complete sequence
HERV9_4-Gag_p30-27-131	253	AP000924.7	172274	7.19e-127	1047	407	82.677	89.37	254	1	1	253	34910	35671	2	9606	Homo sapiens	human	Homo sapiens genomic DNA, chromosome 11 clone:RP11-758F15, complete sequence
HERV9_4-Gag_p30-27-131	253	AP002788.3	174311	7.19e-127	1047	407	82.677	89.37	254	1	1	253	143125	143886	1	9606	Homo sapiens	human	Homo sapiens genomic DNA, chromosome 11q, clone:RP11-347E10, complete sequence
HERV9_4-Gag_p30-27-131	253	AP002878.3	108000	8.46e-127	1047	407	83.071	87.80	254	1	1	253	92861	93622	2	9606	Homo sapiens	human	Homo sapiens genomic DNA, chromosome 11q, clone:RP11-685I24, complete sequence
HERV9_4-Gag_p30-27-131	253	NG_021375.2	2180524	8.50e-127	1047	407	83.071	87.80	254	1	1	253	24616	23855	-1	9606	Homo sapiens	human	Homo sapiens discs large MAGUK scaffold protein 2 (DLG2), RefSeqGene on chromosome 11; nuclear gene for mitochondrial product
HERV9_4-Gag_p30-27-131	253	AC093114.2	167241	7.76e-126	1039	404	81.496	87.80	254	1	1	253	74269	73508	-3	9606	Homo sapiens	human	Homo sapiens chromosome 3 clone RP11-339O5, complete sequence
HERV9_4-Gag_p30-27-131	253	AC022411.6	69778	8.94e-126	1039	404	81.496	87.01	254	1	1	253	23138	23899	2	9606	Homo sapiens	human	Homo sapiens chromosome 5 clone CTB-36B11, complete sequence
HERV9_4-Gag_p30-27-131	253	AC011394.5	86973	8.95e-126	1039	404	81.496	87.01	254	1	1	253	80454	81215	3	9606	Homo sapiens	human	Homo sapiens chromosome 5 clone CTB-179K12, complete sequence
HERV9_4-Gag_p30-27-131	253	AC110620.3	142234	1.18e-125	1038	404	83.071	88.58	254	1	1	253	111371	110610	-3	9606	Homo sapiens	human	Homo sapiens BAC clone RP11-683I7 from 2, complete sequence
HERV9_4-Gag_p30-27-131	253	AL359915.14	159158	1.26e-125	1038	404	81.102	87.40	254	1	1	253	17540	18301	2	9606	Homo sapiens	human	Human DNA sequence from clone RP11-418J17 on chromosome 1, complete sequence
HERV9_4-Gag_p30-27-131	253	AL359915.14	159158	1.18e-45	321	128	69.767	84.88	86	0	43	128	24008	23751	-1	9606	Homo sapiens	human	Human DNA sequence from clone RP11-418J17 on chromosome 1, complete sequence
