qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	0.0	1824	707	73.988	80.54	519	3	2	520	37433358	37431922	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	0.0	713	279	74.468	81.91	188	1	44	231	48901685	48901134	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	0.0	612	240	88.722	91.73	133	0	240	372	48901132	48900734	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	0.0	433	171	70.345	78.62	145	3	367	507	48900759	48900328	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	0.0	199	81.3	95.122	97.56	41	0	1	41	48901822	48901700	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	3.34e-135	890	347	72.766	85.11	235	1	145	379	92566957	92567658	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	3.34e-135	255	102	94.118	98.04	51	0	380	430	92567660	92567812	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	3.34e-135	214	87.0	68.966	82.76	58	0	441	498	92567850	92568023	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	2.46e-113	748	292	65.948	79.74	232	1	222	452	92599479	92600174	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	2.46e-113	326	130	41.627	55.02	209	5	39	218	92598845	92599468	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	2.46e-113	95	41.2	54.762	69.05	42	2	2	43	92598732	92598848	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	4.63e-76	520	204	60.092	71.10	218	4	2	217	59984241	59983606	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	4.63e-76	281	112	78.261	86.96	69	0	247	315	59983528	59983322	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	1.06e-41	350	139	84.211	88.16	76	0	40	115	71920284	71920511	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	1.06e-41	153	63.5	78.947	86.84	38	0	2	39	71920168	71920281	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	1.04e-21	280	112	27.211	48.30	294	5	223	509	22433838	22432975	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	1.29e-20	271	108	31.280	50.71	211	2	223	430	48952981	48953610	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	5.71e-19	257	103	51.773	63.83	141	1	42	177	92566634	92567056	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	1.66e-18	254	102	75.862	83.91	87	2	405	490	71921366	71921623	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
HERVP71A_I_3-Gag_p30-228-429	520	CP034516.1	96089878	1.32e-16	238	96.3	33.333	48.75	240	8	209	429	36610970	36611659	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 13
