qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERVK11I_2-Gag_p24-357-550	712	AL731892.6	123921	0.0	2740	1060	81.013	86.36	711	2	2	712	19146	21266	3	9606	Homo sapiens	human	Human DNA sequence from clone RP11-346M5 on chromosome 1, complete sequence
HERVK11I_2-Gag_p24-357-550	712	AC275679.1	248414	0.0	2679	1036	81.013	86.36	711	2	2	712	193053	195173	3	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome 1 clone CH251-224E17, complete sequence
HERVK11I_2-Gag_p24-357-550	712	AC278915.1	185340	0.0	2663	1030	81.742	85.96	712	1	1	712	81607	79487	-3	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome 17 clone CH251-36M21, complete sequence
HERVK11I_2-Gag_p24-357-550	712	AC278915.1	185340	2.77e-31	275	110	37.736	54.72	159	2	312	468	72188	72661	2	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome 17 clone CH251-36M21, complete sequence
HERVK11I_2-Gag_p24-357-550	712	AC278915.1	185340	2.77e-31	138	57.8	42.188	68.75	64	0	468	531	72660	72851	3	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome 17 clone CH251-36M21, complete sequence
HERVK11I_2-Gag_p24-357-550	712	AC278915.1	185340	1.51e-11	199	81.3	40.625	63.54	96	2	8	102	71657	71941	2	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome 17 clone CH251-36M21, complete sequence
HERVK11I_2-Gag_p24-357-550	712	AC278915.1	185340	0.010	124	52.4	32.934	41.92	167	7	548	712	83241	83633	3	9598	Pan troglodytes	chimpanzee	Pan troglodytes chromosome 17 clone CH251-36M21, complete sequence
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	0.0	2656	1027	81.039	85.67	712	1	1	712	26021857	26019737	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.82e-50	255	102	40.602	61.65	133	2	465	596	20982246	20981866	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.82e-50	154	63.9	33.333	50.00	90	0	312	401	20982709	20982440	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.82e-50	146	60.8	41.975	54.32	81	2	601	681	20981858	20981649	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.82e-50	107	45.8	39.130	55.07	69	1	402	468	20982440	20982234	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.89e-48	501	197	33.636	53.03	330	4	343	667	41409038	41408058	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	3.71e-47	244	98.6	48.305	56.78	118	3	545	660	73020743	73021075	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	3.71e-47	193	79.0	52.941	72.06	68	0	356	423	73020183	73020386	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	3.71e-47	145	60.5	36.765	73.53	68	0	457	524	73020496	73020699	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	3.71e-47	51	24.3	23.729	45.76	59	2	295	353	73020016	73020162	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.53e-42	454	179	34.925	51.04	335	9	397	708	41423129	41422137	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.11e-40	344	137	32.209	49.08	326	8	284	597	86964273	86963332	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.11e-40	344	137	32.209	49.08	326	8	284	597	6784004	6783063	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.11e-40	151	62.8	41.935	50.54	93	4	620	712	86963269	86963087	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
HERVK11I_2-Gag_p24-357-550	712	CP034495.1	88299790	1.11e-40	151	62.8	41.935	50.54	93	4	620	712	6783000	6782818	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 17
