Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
NM_024627.6_hg38	Reference	0	0	1095
NM_024627.6_panTro4	Intact	0	0	1095
NM_024627.6_ponAbe2	Intact	0	0	1095
NM_024627.6_nomLeu3	Intact	0	0	1053
NM_024627.6_rheMac3	Intact	0	0	1095
NM_024627.6_macFas5	Intact	0	0	1095
NM_024627.6_papAnu2	Intact	0	0	1095
NM_024627.6_chlSab2	Intact	0	0	1095
NM_024627.6_calJac3	Intact	0	0	1095
NM_024627.6_otoGar3	Pseud	11	1	1106
NM_024627.6_speTri2	Intact	0	0	1091
NM_024627.6_hetGla2	Pseud	6	0	1042
NM_024627.6_felCat8	Pseud	3	2	1101
NM_024627.6_musFur1	Pseud	8	0	1087
NM_024627.6_ailMel1	Pseud	5	2	1076
NM_024627.6_pteVam1	Pseud	4	1	1108
NM_024627.6_triMan1	Pseud	6	0	1088
NM_024627.6_echTel2	Pseud	6	2	882
