Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
LDOC1_Homo_sapiens_NM_012317	Reference	0	0	441
LOC118150478_Callithrix_jacchus_XM_035288401	Intact	0	0	564
LDOC1_Macaca_mulatta_NM_001260647	Intact	0	0	441
LDOC1_Canis_lupus_familiaris_XM_003640234	Intact	0	0	444
LDOC1_Felis_catus_XM_004000969	Intact	0	0	441
LDOC1_Equus_caballus_XM_005614558	Intact	0	0	441
LDOC1_Sus_scrofa_XM_005673943	Intact	0	0	441
LOC112445078_Bos_taurus_XM_024988619	Intact	0	0	441
LDOC1_Bos_taurus_NM_001081544	Pseud	0	1	372
LDOC1_Ovis_aries_XM_012107219	Intact	0	0	441
LDOC1_Pteropus_alecto_XM_015598756	Intact	0	0	444
LDOC1_Dasypus_novemcinctus_XM_004462935	Intact	0	0	453
LDOC1_Loxodonta_africana_XM_010599705	Intact	0	0	471
LOC113837783_Cricetulus_griseus_XM_035450123	Intact	0	0	453
AK137057_Mus_musculus_AK137057	Intact	0	0	456
Ldoc1_Rattus_norvegicus_XM_017588352	Intact	0	0	444
LDOC1_Callithrix_jacchus_XM_008989980	Intact	0	0	438
