Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
ZCCHC12_Homo_sapiens_NM_001312891	Reference	0	0	1209
ZCCHC18_Homo_sapiens_NM_001143978	Reference	0	0	1212
ZCCHC18_Dasypus_novemcinctus_XM_012527412	Pseud	2	2	1152
ZCCHC18_Callithrix_jacchus_XM_017968639	Pseud	0	1	1122
ZCCHC18_Ovis_aries_XM_012107643	Pseud	0	2	1200
ZCCHC18_Macaca_mulatta_XM_028842476	Pseud	0	1	1218
ZCCHC12_Callithrix_jacchus_XM_008989813	Intact	0	0	1221
ZCCHC12_Macaca_mulatta_NM_001261787	Intact	0	0	1209
ZCCHC12_Equus_caballus_NM_001256953	Intact	0	0	1206
ZCCHC12_Canis_lupus_familiaris_XM_549212	Intact	0	0	1209
ZCCHC12_Felis_catus_XM_004000859	Intact	0	0	1209
AK005317_Mus_musculus_AK005317	Intact	0	0	1182
LOC100755888_Cricetulus_griseus_XM_035449858	Intact	0	0	1182
ZCCHC18_Equus_caballus_XM_023633367	Pseud	0	2	1212
ZCCHC18_Felis_catus_XM_023249139	Pseud	0	2	1215
ZCCHC12_Dasypus_novemcinctus_XM_004458684	Intact	0	0	1209
LOC102878548_Pteropus_alecto_XM_015586558	Pseud	0	3	1182
AK012833_Mus_musculus_AK012833	Intact	0	0	1209
ZCCHC18_Bos_taurus_XM_005227884	Pseud	0	1	1206
Zcchc12_Cricetulus_griseus_XM_035449838	Intact	0	0	1206
ZCCHC12_Pteropus_alecto_XM_015589315	Intact	0	0	1218
ZCCHC12_Bos_taurus_NM_001076197	Intact	0	0	1209
ZCCHC12_Sus_scrofa_XM_003135349	Intact	0	0	1212
ZCCHC12_Ovis_aries_XM_012107483	Intact	0	0	1206
ZCCHC18_Sus_scrofa_XM_005673784	Pseud	0	1	1137
Zcchc12_Rattus_norvegicus_BC089115	Intact	0	0	1206
ZCCHC18_Canis_lupus_familiaris_XM_014111402	Intact	0	0	1200
LOC102555659_Rattus_norvegicus_XM_006227482	Intact	0	0	1182
ZCCHC18_Loxodonta_africana_XM_010594739	Pseud	0	5	1230
