curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725479;start=67330;end=68521"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725642;start=850999;end=852417"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725449;start=24400537;end=24400975"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725455;start=22901693;end=22902680"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725455;start=22900539;end=22909111"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725455;start=22901693;end=22909111"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725455;start=22900539;end=22902776"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725455;start=22901693;end=22902776"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725455;start=22900539;end=22902680"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725437;start=58971858;end=58972920"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725521;start=3579330;end=3580420"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725521;start=3579330;end=3580420"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=44466;end=45843"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=44466;end=45843"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=44466;end=45843"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=44466;end=45843"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=44466;end=45843"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=44466;end=45843"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=44466;end=45843"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=112513;end=113919"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=327472;end=330442"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=327472;end=330442"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=327472;end=330442"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725620;start=327472;end=330442"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725642;start=780130;end=782068"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725590;start=538858;end=539918"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725518;start=1889975;end=1894031"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725535;start=5017360;end=5018968"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725476;start=1795269;end=1797009"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725438;start=69631919;end=69632642"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725449;start=17505981;end=17506323"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725449;start=17505981;end=17506797"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725449;start=17505981;end=17506323"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725605;start=2637715;end=2638924"
curl -s "https://genome-preview.soe.ucsc.edu/cgi-bin/hubApi/getData/sequence?genome=jacJac1;chrom=JH725605;start=2637715;end=2638924"
