qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	0.0	2379	920	91.042	92.35	614	0	1	614	18083585	18081744	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	0.0	1301	505	77.384	82.29	367	0	256	622	7818194	7817094	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	0.0	241	97.4	80.952	87.30	63	0	179	241	7818423	7818235	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	0.0	222	90.1	72.527	74.73	91	1	622	712	7817097	7816837	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.85e-63	398	157	38.830	63.83	188	1	308	495	16481193	16480633	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.85e-63	293	117	39.904	51.44	208	6	502	705	16480619	16480107	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.93e-56	505	199	44.828	63.36	232	4	308	535	6822825	6822142	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.93e-56	125	52.8	37.864	44.66	103	2	544	646	6822148	6821912	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.23e-46	445	176	36.176	49.12	340	8	240	570	15355275	15356216	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.23e-46	100	43.1	65.385	76.92	26	0	594	619	15356276	15356353	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.53e-42	361	143	75.258	84.54	97	1	36	132	7818845	7818558	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.53e-42	148	61.6	76.190	78.57	42	0	1	42	7818946	7818821	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.79e-38	420	166	36.986	52.74	292	8	311	600	23602691	23601870	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	2.79e-38	55	25.8	39.583	41.67	48	1	600	647	23601873	23601775	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	1.55e-34	188	77.0	28.977	47.16	176	3	255	428	13384334	13383834	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
HERVK11DI_4-Gag_p24-315-499	712	CP034510.1	64558752	1.55e-34	174	71.6	34.463	43.50	177	5	475	651	13383697	13383269	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome Y
