qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
NP_036449.1-DUF4939-25-137	146	EU446786.1	481	6.59e-77	599	235	100.000	100.00	131	0	1	131	23	415	2	32630	synthetic construct	synthetic construct	Synthetic construct Homo sapiens clone IMAGE:100070007; IMAGE:100011995; FLH257396.01L leucine zipper, down-regulated in cancer 1 (LDOC1) gene, encodes complete protein
NP_036449.1-DUF4939-25-137	146	AB464610.1	455	7.08e-77	598	234	100.000	100.00	131	0	1	131	10	402	1	32630	synthetic construct	synthetic construct	Synthetic construct DNA, clone: pF1KB9623, Homo sapiens LDOC1 gene for leucine zipper, down-regulated in cancer 1, without stop codon, in Flexi system
NP_036449.1-DUF4939-25-137	146	CR457088.1	441	8.06e-77	598	234	100.000	100.00	131	0	1	131	1	393	1	9606	Homo sapiens	human	Homo sapiens full open reading frame cDNA clone RZPDo834E057D for gene LDOC1, leucine zipper, down-regulated in cancer 1; complete cds, incl. stopcodon
NP_036449.1-DUF4939-25-137	146	KJ893424.1	570	3.99e-76	597	234	100.000	100.00	131	0	1	131	66	458	3	32630	synthetic construct	synthetic construct	Synthetic construct Homo sapiens clone ccsbBroadEn_02818 LDOC1 gene, encodes complete protein
NP_036449.1-DUF4939-25-137	146	XM_008506909.1	677	7.89e-76	598	234	99.237	100.00	131	0	1	131	168	560	3	9798	Equus przewalskii	Przewalski's horse	PREDICTED: Equus przewalskii leucine zipper, down-regulated in cancer 1 (LDOC1), mRNA
NP_036449.1-DUF4939-25-137	146	XM_025934316.1	441	1.10e-75	590	231	98.473	100.00	131	0	1	131	1	393	1	9696	Puma concolor	puma	PREDICTED: Puma concolor LDOC1, regulator of NFKB signaling (LDOC1), mRNA
NP_036449.1-DUF4939-25-137	146	XM_037511864.1	672	3.77e-75	594	233	98.473	100.00	131	0	1	131	94	486	1	50954	Talpa occidentalis	Iberian mole	PREDICTED: Talpa occidentalis LDOC1 regulator of NFKB signaling (LDOC1), mRNA
NP_036449.1-DUF4939-25-137	146	XM_004380961.1	438	4.92e-75	586	230	97.710	99.24	131	0	1	131	1	393	1	127582	Trichechus manatus latirostris	Florida manatee	PREDICTED: Trichechus manatus latirostris LDOC1, regulator of NFKB signaling (LOC101359736), mRNA
NP_036449.1-DUF4939-25-137	146	XM_007951720.1	399	6.03e-75	584	229	95.420	98.47	131	0	1	131	1	393	1	1230840	Orycteropus afer afer	Orycteropus afer afer	PREDICTED: Orycteropus afer afer leucine zipper, down-regulated in cancer 1 (LDOC1), partial mRNA
NP_036449.1-DUF4939-25-137	146	XM_006869722.1	447	6.55e-75	585	229	97.710	98.47	131	0	1	131	1	393	1	185453	Chrysochloris asiatica	Cape golden mole	PREDICTED: Chrysochloris asiatica protein LDOC1-like (LOC102820813), mRNA
NP_036449.1-DUF4939-25-137	146	XM_004654020.1	438	7.14e-75	585	229	96.947	99.24	131	0	1	131	1	393	1	51337	Jaculus jaculus	lesser Egyptian jerboa	PREDICTED: Jaculus jaculus leucine zipper, down-regulated in cancer 1 (Ldoc1), mRNA
