qaccver	qlen	saccver	slen	evalue	score	bitscore	pident	ppos	length	gapopen	qstart	qend	sstart	send	sframe	staxid	ssciname	scomname	stitle
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	0.0	2317	897	82.051	86.06	624	4	6	628	41400830	41402683	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	6.32e-130	1114	433	54.568	68.15	405	8	246	628	28076417	28075221	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.24e-102	909	354	49.573	67.52	351	4	276	623	12154049	12153072	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.36e-100	875	341	56.376	74.50	298	3	241	538	39371524	39370655	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.36e-100	137	57.4	55.102	61.22	49	1	554	602	39370598	39370455	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.90e-98	631	247	54.884	74.42	215	2	241	455	53197892	53197254	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.90e-98	364	144	49.405	60.71	168	4	455	619	53197218	53196775	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.32e-95	853	333	47.989	62.73	373	7	246	595	22699644	22700717	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.33e-94	364	144	50.299	60.48	167	4	465	628	21794590	21794159	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.33e-94	329	131	46.479	65.49	142	2	229	370	21795289	21794870	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.33e-94	310	124	52.475	77.23	101	1	363	463	21794894	21794595	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	9.14e-94	842	328	47.443	63.92	352	6	276	611	22010626	22009586	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.99e-92	550	216	52.427	70.39	206	3	363	565	21540524	21539928	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.99e-92	336	134	51.908	68.70	131	1	240	370	21540889	21540500	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.99e-92	99	42.7	41.935	48.39	62	1	567	628	21539926	21539783	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.56e-88	803	313	46.250	59.25	400	7	240	626	58347922	58349016	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.50e-78	727	284	42.632	55.00	380	7	246	623	12502711	12503607	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.97e-78	428	169	50.299	66.47	167	2	249	413	51844556	51844071	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.97e-78	391	155	61.600	73.60	125	1	411	535	51844080	51843724	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	9.56e-73	405	160	39.789	55.99	284	11	221	475	37545171	37544350	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	9.56e-73	368	146	51.829	60.37	164	5	480	628	37544339	37543860	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.10e-72	585	229	45.455	62.94	286	6	241	514	21467152	21466334	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.10e-72	151	62.8	63.636	68.18	44	0	552	595	21466226	21466095	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.10e-72	79	35.0	54.167	70.83	24	0	514	537	21466338	21466267	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.94e-71	670	262	38.718	55.13	390	8	241	623	23978360	23977245	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.01e-66	509	200	39.274	57.43	303	5	241	533	9505752	9506606	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.01e-66	210	85.5	46.154	56.73	104	2	528	628	9506588	9506857	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	9.96e-66	573	225	56.122	71.94	196	1	315	510	20371611	20371042	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	9.96e-66	139	58.2	51.923	67.31	52	1	519	568	20371022	20370867	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	6.31e-59	346	137	38.384	54.04	198	3	241	438	28142102	28141521	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	6.31e-59	307	122	36.866	51.15	217	6	438	627	28141521	28140895	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.36e-56	477	188	35.616	54.79	292	4	241	532	24444589	24445449	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.36e-56	153	63.5	44.792	54.17	96	4	551	628	24445508	24445795	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	7.46e-51	515	202	48.333	61.67	240	5	390	626	52749631	52748975	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.80e-50	473	186	38.007	56.09	271	4	293	559	28011852	28012652	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.80e-50	107	45.8	37.634	44.09	93	3	560	628	28012652	28012912	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.61e-48	494	194	33.663	49.75	404	11	242	623	20630428	20629280	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.07e-44	467	184	36.927	52.56	371	14	283	628	20329533	20330591	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.70e-41	438	173	54.144	71.82	181	3	229	409	52750106	52749573	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.37e-36	247	99.8	35.616	57.53	146	3	390	530	58758509	58758928	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.37e-36	139	58.2	34.545	52.73	110	2	280	389	58758186	58758509	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.37e-36	115	48.9	46.875	56.25	64	2	538	600	58759000	58759182	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.45e-32	369	146	50.649	63.64	154	2	478	628	9767580	9767161	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.82e-32	326	130	56.216	69.73	185	4	30	214	7805367	7804855	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.82e-32	94	40.8	73.077	84.62	26	0	2	27	7805450	7805373	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.82e-32	41	20.4	57.143	71.43	14	0	216	229	7804862	7804821	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.11e-31	251	101	31.727	46.59	249	4	242	489	9564669	9563947	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.11e-31	165	68.2	43.011	56.99	93	3	493	573	9563939	9563667	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.11e-30	307	122	32.806	50.20	253	5	284	531	52254066	52253335	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.11e-30	95	41.2	47.727	56.82	44	0	555	598	52253251	52253120	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.31e-26	263	105	33.679	48.19	193	4	405	573	22316982	22317527	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.31e-26	105	45.1	27.632	40.79	152	2	260	411	22316554	22317003	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	5.67e-26	318	127	56.701	72.16	97	0	1	97	52909037	52908747	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.21e-25	312	124	34.764	51.50	233	4	280	512	11910439	11909765	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.67e-22	231	93.6	35.762	56.29	151	4	396	541	7786165	7786584	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.67e-22	105	45.1	31.068	48.54	103	2	280	382	7785860	7786162	2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.38e-22	286	114	50.485	69.90	103	0	4	106	53192605	53192297	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	9.89e-22	283	113	36.073	50.68	219	8	402	600	52420833	52421444	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.10e-20	275	110	29.963	46.82	267	5	327	581	52856617	52855841	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.21e-20	274	110	49.057	70.75	106	1	5	106	28077218	28076901	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	4.52e-20	269	108	34.574	53.72	188	2	280	467	52921563	52921006	-1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	6.15e-19	260	104	48.936	69.15	94	0	4	97	51845432	51845151	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.64e-18	257	103	43.396	67.92	106	0	5	110	12502150	12502467	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.71e-18	255	102	51.579	69.47	95	1	4	97	52750609	52750325	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	6.11e-17	243	98.2	48.148	67.59	108	2	4	106	22698837	22699160	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	2.45e-16	238	96.3	41.935	66.67	93	0	5	97	22012174	22011896	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	7.39e-16	178	73.2	31.148	44.26	183	4	389	569	24079378	24078887	-3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	7.39e-16	100	43.1	25.974	54.55	77	2	279	352	24079700	24079479	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	1.64e-15	232	94.0	51.807	69.88	83	0	376	458	12040462	12040710	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	5.57e-14	219	89.0	33.146	48.88	178	4	436	598	21357588	21358088	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.13e-13	132	55.5	52.174	73.91	46	1	53	97	9505362	9505499	3	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	3.13e-13	123	52.0	55.319	63.83	47	0	4	50	9505216	9505356	1	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
HERV-K14CI_1-Gag_p24-283-484	628	CP034497.1	64242768	5.19e-13	211	85.9	48.889	64.44	90	1	239	328	20371853	20371593	-2	111789	eukaryotic synthetic construct	eukaryotic synthetic construct	Eukaryotic synthetic construct chromosome 19
