Seq	Pseud	Num_frameshifts	Num_stops	Ungapped_length
XM_011513341	Reference	0	0	2127
panTro4	Pseud	1	0	658
gorGor3	Truncated	0	0	11
ponAbe2	Truncated	0	0	11
nomLeu3	Truncated	0	0	11
rheMac3	Truncated	0	0	11
macFas5	Truncated	0	0	11
papAnu2	Truncated	0	0	11
chlSab2	Truncated	0	0	11
calJac3	Truncated	0	0	10
saiBol1	Truncated	0	0	11
otoGar3	Truncated	0	0	11
tupChi1	Truncated	0	0	11
speTri2	Truncated	0	0	11
hetGla2	Truncated	0	0	11
cavPor3	Truncated	0	0	11
octDeg1	Truncated	0	0	11
susScr3	Truncated	0	0	11
vicPac2	Truncated	0	0	11
camFer1	Truncated	0	0	11
turTru2	Truncated	0	0	11
orcOrc1	Truncated	0	0	11
equCab2	Truncated	0	0	10
cerSim1	Truncated	0	0	11
canFam3	Truncated	0	0	7
musFur1	Truncated	0	0	9
ailMel1	Truncated	0	0	9
odoRosDiv1	Truncated	0	0	9
lepWed1	Truncated	0	0	9
pteAle1	Truncated	0	0	11
pteVam1	Truncated	0	0	11
sorAra2	Truncated	0	0	11
conCri1	Truncated	0	0	11
loxAfr3	Truncated	0	0	11
triMan1	Truncated	0	0	11
oryAfe1	Truncated	0	0	11
dasNov3	Truncated	0	0	12
